[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   68: F1: 92.79, P: 93.72, R: 91.89, RollIn = 0.0306, NZW = 587545
   69: F1: 92.74, P: 93.62, R: 91.87, RollIn = 0.0290, NZW = 585166
   70: F1: 92.81, P: 93.75, R: 91.89, RollIn = 0.0276, NZW = 582954
   71: F1: 92.91, P: 93.88, R: 91.96, RollIn = 0.0262, NZW = 581754
   72: F1: 92.79, P: 93.73, R: 91.87, RollIn = 0.0249, NZW = 581821
   73: F1: 92.77, P: 93.75, R: 91.82, RollIn = 0.0236, NZW = 581434
   74: F1: 92.74, P: 93.70, R: 91.80, RollIn = 0.0225, NZW = 578759
   75: F1: 92.79, P: 93.78, R: 91.82, RollIn = 0.0213, NZW = 577198
   76: F1: 92.72, P: 93.68, R: 91.79, RollIn = 0.0203, NZW = 576984
   77: F1: 92.72, P: 93.69, R: 91.77, RollIn = 0.0193, NZW = 576758
   78: F1: 92.77, P: 93.73, R: 91.82, RollIn = 0.0183, NZW = 577154
   79: F1: 92.78, P: 93.75, R: 91.84, RollIn = 0.0174, NZW = 574769
   80: F1: 92.73, P: 93.74, R: 91.74, RollIn = 0.0165, NZW = 573411
   81: F1: 92.72, P: 93.74, R: 91.72, RollIn = 0.0157, NZW = 572950
   82: F1: 92.73, P: 93.71, R: 91.77, RollIn = 0.0149, NZW = 572707
   83: F1: 92.69, P: 93.67, R: 91.72, RollIn = 0.0142, NZW = 573239
   84: F1: 92.73, P: 93.76, R: 91.72, RollIn = 0.0135, NZW = 570532
   85: F1: 92.80, P: 93.81, R: 91.80, RollIn = 0.0128, NZW = 569553
   86: F1: 92.79, P: 93.85, R: 91.75, RollIn = 0.0121, NZW = 568292
   87: F1: 92.79, P: 93.84, R: 91.77, RollIn = 0.0115, NZW = 567990
   88: F1: 92.79, P: 93.79, R: 91.80, RollIn = 0.0110, NZW = 568313
   89: F1: 92.78, P: 93.78, R: 91.80, RollIn = 0.0104, NZW = 565564
   90: F1: 92.74, P: 93.70, R: 91.80, RollIn = 0.0099, NZW = 564812
   91: F1: 92.71, P: 93.68, R: 91.75, RollIn = 0.0094, NZW = 564160
   92: F1: 92.65, P: 93.62, R: 91.69, RollIn = 0.0089, NZW = 563980
   93: F1: 92.75, P: 93.74, R: 91.77, RollIn = 0.0085, NZW = 563357
   94: F1: 92.69, P: 93.69, R: 91.72, RollIn = 0.0081, NZW = 560655
   95: F1: 92.75, P: 93.77, R: 91.75, RollIn = 0.0077, NZW = 560043
   96: F1: 92.79, P: 93.76, R: 91.84, RollIn = 0.0073, NZW = 559752
   97: F1: 92.75, P: 93.70, R: 91.82, RollIn = 0.0069, NZW = 559396
   98: F1: 92.72, P: 93.71, R: 91.75, RollIn = 0.0066, NZW = 558904
   99: F1: 92.77, P: 93.73, R: 91.82, RollIn = 0.0062, NZW = 556801
  100: F1: 92.77, P: 93.73, R: 91.82, RollIn = 0.0059, NZW = 556481
  101: F1: 92.78, P: 93.75, R: 91.84, RollIn = 0.0056, NZW = 556461
  102: F1: 92.72, P: 93.68, R: 91.79, RollIn = 0.0053, NZW = 556217
  103: F1: 92.77, P: 93.71, R: 91.84, RollIn = 0.0051, NZW = 554849
  104: F1: 92.72, P: 93.68, R: 91.79, RollIn = 0.0048, NZW = 553255
  105: F1: 92.75, P: 93.71, R: 91.80, RollIn = 0.0046, NZW = 552607
  106: F1: 92.77, P: 93.73, R: 91.84, RollIn = 0.0044, NZW = 552103
  107: F1: 92.72, P: 93.66, R: 91.80, RollIn = 0.0041, NZW = 551955
  108: F1: 92.70, P: 93.63, R: 91.79, RollIn = 0.0039, NZW = 550488
  109: F1: 92.78, P: 93.67, R: 91.91, RollIn = 0.0037, NZW = 549046
  110: F1: 92.75, P: 93.68, R: 91.84, RollIn = 0.0035, NZW = 548569
  111: F1: 92.78, P: 93.75, R: 91.84, RollIn = 0.0034, NZW = 548421
  112: F1: 92.73, P: 93.68, R: 91.80, RollIn = 0.0032, NZW = 548425
  113: F1: 92.72, P: 93.65, R: 91.80, RollIn = 0.0030, NZW = 547160
  114: F1: 92.68, P: 93.57, R: 91.80, RollIn = 0.0029, NZW = 545916
  115: F1: 92.83, P: 93.77, R: 91.91, RollIn = 0.0027, NZW = 545053
  116: F1: 92.81, P: 93.77, R: 91.87, RollIn = 0.0026, NZW = 545211
  117: F1: 92.78, P: 93.75, R: 91.84, RollIn = 0.0025, NZW = 545045
