[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   68: F1: 92.73, P: 93.68, R: 91.80, RollIn = 0.0306, NZW = 569895
   69: F1: 92.78, P: 93.72, R: 91.85, RollIn = 0.0290, NZW = 567823
   70: F1: 92.74, P: 93.65, R: 91.85, RollIn = 0.0276, NZW = 565832
   71: F1: 92.75, P: 93.68, R: 91.84, RollIn = 0.0262, NZW = 565033
   72: F1: 92.77, P: 93.68, R: 91.87, RollIn = 0.0249, NZW = 564863
   73: F1: 92.73, P: 93.70, R: 91.79, RollIn = 0.0236, NZW = 564593
   74: F1: 92.78, P: 93.70, R: 91.87, RollIn = 0.0225, NZW = 561982
   75: F1: 92.76, P: 93.70, R: 91.84, RollIn = 0.0213, NZW = 560955
   76: F1: 92.75, P: 93.68, R: 91.84, RollIn = 0.0203, NZW = 560950
   77: F1: 92.73, P: 93.65, R: 91.82, RollIn = 0.0193, NZW = 560543
   78: F1: 92.71, P: 93.60, R: 91.84, RollIn = 0.0183, NZW = 560550
   79: F1: 92.77, P: 93.70, R: 91.85, RollIn = 0.0174, NZW = 557704
   80: F1: 92.77, P: 93.70, R: 91.85, RollIn = 0.0165, NZW = 556455
   81: F1: 92.74, P: 93.64, R: 91.85, RollIn = 0.0157, NZW = 556093
   82: F1: 92.82, P: 93.78, R: 91.87, RollIn = 0.0149, NZW = 556021
   83: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0142, NZW = 556192
   84: F1: 92.74, P: 93.70, R: 91.80, RollIn = 0.0135, NZW = 553690
   85: F1: 92.76, P: 93.74, R: 91.79, RollIn = 0.0128, NZW = 552974
   86: F1: 92.71, P: 93.66, R: 91.77, RollIn = 0.0121, NZW = 552905
   87: F1: 92.68, P: 93.64, R: 91.74, RollIn = 0.0115, NZW = 553181
   88: F1: 92.73, P: 93.73, R: 91.75, RollIn = 0.0110, NZW = 553355
   89: F1: 92.71, P: 93.69, R: 91.75, RollIn = 0.0104, NZW = 550443
   90: F1: 92.71, P: 93.68, R: 91.75, RollIn = 0.0099, NZW = 550055
   91: F1: 92.68, P: 93.66, R: 91.72, RollIn = 0.0094, NZW = 549855
   92: F1: 92.78, P: 93.72, R: 91.85, RollIn = 0.0089, NZW = 550015
   93: F1: 92.79, P: 93.73, R: 91.87, RollIn = 0.0085, NZW = 549080
   94: F1: 92.67, P: 93.63, R: 91.74, RollIn = 0.0081, NZW = 546539
   95: F1: 92.64, P: 93.58, R: 91.72, RollIn = 0.0077, NZW = 545922
