[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   68: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.0306, NZW = 483716
   69: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0290, NZW = 481766
   70: F1: 92.78, P: 93.69, R: 91.89, RollIn = 0.0276, NZW = 480299
   71: F1: 92.79, P: 93.69, R: 91.91, RollIn = 0.0262, NZW = 479731
   72: F1: 92.76, P: 93.62, R: 91.91, RollIn = 0.0249, NZW = 479677
   73: F1: 92.75, P: 93.59, R: 91.92, RollIn = 0.0236, NZW = 479430
   74: F1: 92.79, P: 93.63, R: 91.97, RollIn = 0.0225, NZW = 477235
   75: F1: 92.78, P: 93.64, R: 91.94, RollIn = 0.0213, NZW = 476051
   76: F1: 92.82, P: 93.68, R: 91.97, RollIn = 0.0203, NZW = 476016
   77: F1: 92.87, P: 93.76, R: 92.01, RollIn = 0.0193, NZW = 476309
   78: F1: 92.80, P: 93.67, R: 91.94, RollIn = 0.0183, NZW = 476354
   79: F1: 92.78, P: 93.70, R: 91.87, RollIn = 0.0174, NZW = 474583
   80: F1: 92.77, P: 93.65, R: 91.91, RollIn = 0.0165, NZW = 473390
   81: F1: 92.75, P: 93.68, R: 91.84, RollIn = 0.0157, NZW = 472875
   82: F1: 92.75, P: 93.65, R: 91.87, RollIn = 0.0149, NZW = 472885
   83: F1: 92.77, P: 93.64, R: 91.92, RollIn = 0.0142, NZW = 472771
   84: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.0135, NZW = 470529
   85: F1: 92.72, P: 93.60, R: 91.85, RollIn = 0.0128, NZW = 469768
   86: F1: 92.79, P: 93.67, R: 91.92, RollIn = 0.0121, NZW = 469251
   87: F1: 92.81, P: 93.67, R: 91.96, RollIn = 0.0115, NZW = 469361
   88: F1: 92.76, P: 93.64, R: 91.91, RollIn = 0.0110, NZW = 469194
   89: F1: 92.76, P: 93.62, R: 91.91, RollIn = 0.0104, NZW = 466973
   90: F1: 92.73, P: 93.59, R: 91.89, RollIn = 0.0099, NZW = 466474
   91: F1: 92.67, P: 93.52, R: 91.84, RollIn = 0.0094, NZW = 466338
   92: F1: 92.81, P: 93.67, R: 91.96, RollIn = 0.0089, NZW = 466422
   93: F1: 92.77, P: 93.62, R: 91.94, RollIn = 0.0085, NZW = 466137
   94: F1: 92.77, P: 93.64, R: 91.92, RollIn = 0.0081, NZW = 464185
   95: F1: 92.78, P: 93.66, R: 91.92, RollIn = 0.0077, NZW = 463244
   96: F1: 92.72, P: 93.56, R: 91.91, RollIn = 0.0073, NZW = 462912
   97: F1: 92.70, P: 93.57, R: 91.85, RollIn = 0.0069, NZW = 462547
   98: F1: 92.72, P: 93.59, R: 91.87, RollIn = 0.0066, NZW = 462139
   99: F1: 92.74, P: 93.56, R: 91.94, RollIn = 0.0062, NZW = 460837
  100: F1: 92.79, P: 93.64, R: 91.96, RollIn = 0.0059, NZW = 460194
  101: F1: 92.78, P: 93.66, R: 91.92, RollIn = 0.0056, NZW = 460372
  102: F1: 92.79, P: 93.64, R: 91.96, RollIn = 0.0053, NZW = 460297
  103: F1: 92.78, P: 93.69, R: 91.89, RollIn = 0.0051, NZW = 459303
  104: F1: 92.81, P: 93.67, R: 91.96, RollIn = 0.0048, NZW = 457590
  105: F1: 92.77, P: 93.64, R: 91.92, RollIn = 0.0046, NZW = 457324
  106: F1: 92.81, P: 93.70, R: 91.94, RollIn = 0.0044, NZW = 456745
  107: F1: 92.80, P: 93.69, R: 91.92, RollIn = 0.0041, NZW = 456765
  108: F1: 92.79, P: 93.67, R: 91.92, RollIn = 0.0039, NZW = 455881
  109: F1: 92.79, P: 93.67, R: 91.92, RollIn = 0.0037, NZW = 454494
  110: F1: 92.80, P: 93.70, R: 91.91, RollIn = 0.0035, NZW = 454018
  111: F1: 92.79, P: 93.70, R: 91.89, RollIn = 0.0034, NZW = 453809
  112: F1: 92.76, P: 93.70, R: 91.84, RollIn = 0.0032, NZW = 453844
  113: F1: 92.75, P: 93.65, R: 91.87, RollIn = 0.0030, NZW = 452783
  114: F1: 92.75, P: 93.65, R: 91.87, RollIn = 0.0029, NZW = 451810
  115: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0027, NZW = 451217
  116: F1: 92.73, P: 93.59, R: 91.89, RollIn = 0.0026, NZW = 450962
  117: F1: 92.75, P: 93.64, R: 91.87, RollIn = 0.0025, NZW = 451380
  118: F1: 92.73, P: 93.63, R: 91.84, RollIn = 0.0024, NZW = 450021
  119: F1: 92.68, P: 93.57, R: 91.80, RollIn = 0.0022, NZW = 448738
  120: F1: 92.73, P: 93.62, R: 91.85, RollIn = 0.0021, NZW = 448440
  121: F1: 92.67, P: 93.55, R: 91.80, RollIn = 0.0020, NZW = 448386
  122: F1: 92.71, P: 93.62, R: 91.82, RollIn = 0.0019, NZW = 448430
  123: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0018, NZW = 446919
  124: F1: 92.71, P: 93.63, R: 91.80, RollIn = 0.0017, NZW = 446345
  125: F1: 92.75, P: 93.67, R: 91.85, RollIn = 0.0016, NZW = 446106
  126: F1: 92.76, P: 93.65, R: 91.89, RollIn = 0.0016, NZW = 446148
  127: F1: 92.75, P: 93.67, R: 91.85, RollIn = 0.0015, NZW = 445781
  128: F1: 92.73, P: 93.67, R: 91.82, RollIn = 0.0014, NZW = 444142
  129: F1: 92.72, P: 93.65, R: 91.80, RollIn = 0.0013, NZW = 443585
  130: F1: 92.74, P: 93.65, R: 91.85, RollIn = 0.0013, NZW = 443611
  131: F1: 92.68, P: 93.57, R: 91.80, RollIn = 0.0012, NZW = 443753
  132: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0011, NZW = 443635
  133: F1: 92.74, P: 93.65, R: 91.84, RollIn = 0.0011, NZW = 441743
  134: F1: 92.66, P: 93.57, R: 91.77, RollIn = 0.0010, NZW = 441398
  135: F1: 92.74, P: 93.64, R: 91.85, RollIn = 0.0010, NZW = 441032
  136: F1: 92.68, P: 93.55, R: 91.82, RollIn = 0.0009, NZW = 440772
  137: F1: 92.63, P: 93.47, R: 91.80, RollIn = 0.0009, NZW = 440581
  138: F1: 92.63, P: 93.53, R: 91.74, RollIn = 0.0008, NZW = 439174
  139: F1: 92.69, P: 93.58, R: 91.80, RollIn = 0.0008, NZW = 438933
  140: F1: 92.68, P: 93.55, R: 91.82, RollIn = 0.0008, NZW = 438705
  141: F1: 92.75, P: 93.64, R: 91.87, RollIn = 0.0007, NZW = 438656
  142: F1: 92.76, P: 93.65, R: 91.89, RollIn = 0.0007, NZW = 438417
  143: F1: 92.76, P: 93.67, R: 91.87, RollIn = 0.0007, NZW = 437398
  144: F1: 92.82, P: 93.74, R: 91.92, RollIn = 0.0006, NZW = 436876
  145: F1: 92.74, P: 93.68, R: 91.82, RollIn = 0.0006, NZW = 436941
  146: F1: 92.76, P: 93.68, R: 91.85, RollIn = 0.0006, NZW = 436767
  147: F1: 92.74, P: 93.67, R: 91.84, RollIn = 0.0005, NZW = 436095
  148: F1: 92.73, P: 93.63, R: 91.84, RollIn = 0.0005, NZW = 435243
  149: F1: 92.70, P: 93.63, R: 91.79, RollIn = 0.0005, NZW = 435065
  150: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0005, NZW = 435133
  151: F1: 92.67, P: 93.57, R: 91.79, RollIn = 0.0004, NZW = 435081
  152: F1: 92.72, P: 93.62, R: 91.84, RollIn = 0.0004, NZW = 434095
  153: F1: 92.69, P: 93.58, R: 91.80, RollIn = 0.0004, NZW = 432821
  154: F1: 92.74, P: 93.62, R: 91.87, RollIn = 0.0004, NZW = 432881
  155: F1: 92.74, P: 93.62, R: 91.87, RollIn = 0.0004, NZW = 433100
  156: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0003, NZW = 432850
  157: F1: 92.73, P: 93.65, R: 91.82, RollIn = 0.0003, NZW = 431843
  158: F1: 92.61, P: 93.55, R: 91.70, RollIn = 0.0003, NZW = 431084
  159: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0003, NZW = 430641
  160: F1: 92.72, P: 93.63, R: 91.82, RollIn = 0.0003, NZW = 430753
  161: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0003, NZW = 430540
  162: F1: 92.67, P: 93.57, R: 91.79, RollIn = 0.0002, NZW = 429224
  163: F1: 92.64, P: 93.53, R: 91.77, RollIn = 0.0002, NZW = 428751
  164: F1: 92.62, P: 93.53, R: 91.72, RollIn = 0.0002, NZW = 428616
  165: F1: 92.69, P: 93.63, R: 91.77, RollIn = 0.0002, NZW = 428414
  166: F1: 92.66, P: 93.57, R: 91.77, RollIn = 0.0002, NZW = 428374
