[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, l1 = 2.0E-6, bias = 0.5, batch = 5
   68: F1: 91.89, P: 92.97, R: 90.83, RollIn = 0.0306, NZW = 628489
   69: F1: 91.89, P: 92.99, R: 90.81, RollIn = 0.0290, NZW = 627285
   70: F1: 91.88, P: 93.00, R: 90.79, RollIn = 0.0276, NZW = 627060
   71: F1: 91.88, P: 93.00, R: 90.78, RollIn = 0.0262, NZW = 627301
   72: F1: 91.87, P: 93.00, R: 90.76, RollIn = 0.0249, NZW = 625406
   73: F1: 91.84, P: 92.98, R: 90.73, RollIn = 0.0236, NZW = 626087
   74: F1: 91.89, P: 93.02, R: 90.79, RollIn = 0.0225, NZW = 624890
   75: F1: 91.87, P: 93.01, R: 90.76, RollIn = 0.0213, NZW = 625089
   76: F1: 91.88, P: 93.00, R: 90.78, RollIn = 0.0203, NZW = 624829
   77: F1: 91.87, P: 93.00, R: 90.76, RollIn = 0.0193, NZW = 623560
   78: F1: 91.89, P: 93.03, R: 90.78, RollIn = 0.0183, NZW = 624311
   79: F1: 91.88, P: 93.02, R: 90.78, RollIn = 0.0174, NZW = 622707
   80: F1: 91.87, P: 93.01, R: 90.76, RollIn = 0.0165, NZW = 622630
   81: F1: 91.87, P: 93.01, R: 90.76, RollIn = 0.0157, NZW = 622079
   82: F1: 91.86, P: 93.03, R: 90.73, RollIn = 0.0149, NZW = 620975
   83: F1: 91.86, P: 93.01, R: 90.74, RollIn = 0.0142, NZW = 621382
   84: F1: 91.88, P: 93.03, R: 90.76, RollIn = 0.0135, NZW = 619920
   85: F1: 91.90, P: 93.05, R: 90.78, RollIn = 0.0128, NZW = 620192
   86: F1: 91.86, P: 93.03, R: 90.73, RollIn = 0.0121, NZW = 619627
   87: F1: 91.86, P: 93.01, R: 90.73, RollIn = 0.0115, NZW = 619208
   88: F1: 91.88, P: 93.03, R: 90.76, RollIn = 0.0110, NZW = 619829
   89: F1: 91.89, P: 93.03, R: 90.78, RollIn = 0.0104, NZW = 618091
   90: F1: 91.88, P: 93.02, R: 90.78, RollIn = 0.0099, NZW = 618591
   91: F1: 91.88, P: 93.00, R: 90.78, RollIn = 0.0094, NZW = 617719
   92: F1: 91.91, P: 93.05, R: 90.79, RollIn = 0.0089, NZW = 617628
   93: F1: 91.92, P: 93.07, R: 90.79, RollIn = 0.0085, NZW = 617733
   94: F1: 91.90, P: 93.05, R: 90.78, RollIn = 0.0081, NZW = 616262
   95: F1: 91.93, P: 93.07, R: 90.81, RollIn = 0.0077, NZW = 616631
   96: F1: 91.93, P: 93.07, R: 90.83, RollIn = 0.0073, NZW = 615631
   97: F1: 91.95, P: 93.09, R: 90.84, RollIn = 0.0069, NZW = 615558
   98: F1: 91.98, P: 93.12, R: 90.86, RollIn = 0.0066, NZW = 615484
   99: F1: 91.98, P: 93.12, R: 90.86, RollIn = 0.0062, NZW = 614255
  100: F1: 91.97, P: 93.12, R: 90.84, RollIn = 0.0059, NZW = 614872
  101: F1: 91.94, P: 93.10, R: 90.81, RollIn = 0.0056, NZW = 613571
  102: F1: 91.97, P: 93.12, R: 90.84, RollIn = 0.0053, NZW = 613503
  103: F1: 91.98, P: 93.12, R: 90.86, RollIn = 0.0051, NZW = 613212
  104: F1: 91.97, P: 93.13, R: 90.84, RollIn = 0.0048, NZW = 612482
  105: F1: 92.01, P: 93.15, R: 90.90, RollIn = 0.0046, NZW = 613031
  106: F1: 92.04, P: 93.20, R: 90.91, RollIn = 0.0044, NZW = 611621
  107: F1: 92.03, P: 93.20, R: 90.90, RollIn = 0.0041, NZW = 611746
  108: F1: 92.03, P: 93.20, R: 90.90, RollIn = 0.0039, NZW = 611230
  109: F1: 92.06, P: 93.23, R: 90.91, RollIn = 0.0037, NZW = 610715
  110: F1: 92.03, P: 93.18, R: 90.90, RollIn = 0.0035, NZW = 611259
  111: F1: 92.02, P: 93.20, R: 90.88, RollIn = 0.0034, NZW = 609784
  112: F1: 92.02, P: 93.20, R: 90.88, RollIn = 0.0032, NZW = 610183
  113: F1: 92.01, P: 93.18, R: 90.86, RollIn = 0.0030, NZW = 609398
  114: F1: 92.04, P: 93.22, R: 90.90, RollIn = 0.0029, NZW = 608916
