[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 40.74, P: 85.52, R: 26.74, RollIn = 0.9500, NZW = 330027
    2: F1: 46.61, P: 86.42, R: 31.91, RollIn = 0.9025, NZW = 434477
    3: F1: 50.78, P: 87.35, R: 35.80, RollIn = 0.8574, NZW = 502876
    4: F1: 53.76, P: 88.31, R: 38.64, RollIn = 0.8145, NZW = 551752
    5: F1: 56.56, P: 89.26, R: 41.40, RollIn = 0.7738, NZW = 583155
    6: F1: 58.82, P: 89.72, R: 43.76, RollIn = 0.7351, NZW = 583615
    7: F1: 60.39, P: 90.09, R: 45.42, RollIn = 0.6983, NZW = 593535
    8: F1: 61.75, P: 90.40, R: 46.89, RollIn = 0.6634, NZW = 603515
    9: F1: 63.05, P: 90.52, R: 48.37, RollIn = 0.6302, NZW = 613463
   10: F1: 64.42, P: 90.63, R: 49.97, RollIn = 0.5987, NZW = 618429
   11: F1: 65.48, P: 90.75, R: 51.21, RollIn = 0.5688, NZW = 614075
   12: F1: 66.37, P: 90.82, R: 52.29, RollIn = 0.5404, NZW = 618415
   13: F1: 67.20, P: 91.05, R: 53.25, RollIn = 0.5133, NZW = 622920
   14: F1: 67.75, P: 91.08, R: 53.94, RollIn = 0.4877, NZW = 627647
   15: F1: 68.50, P: 91.33, R: 54.80, RollIn = 0.4633, NZW = 628344
   16: F1: 69.19, P: 91.53, R: 55.62, RollIn = 0.4401, NZW = 625687
   17: F1: 69.67, P: 91.44, R: 56.28, RollIn = 0.4181, NZW = 627952
   18: F1: 70.14, P: 91.40, R: 56.90, RollIn = 0.3972, NZW = 630776
   19: F1: 70.65, P: 91.47, R: 57.56, RollIn = 0.3774, NZW = 633645
   20: F1: 71.01, P: 91.34, R: 58.08, RollIn = 0.3585, NZW = 632617
   21: F1: 71.36, P: 91.27, R: 58.58, RollIn = 0.3406, NZW = 631034
   22: F1: 71.74, P: 91.31, R: 59.07, RollIn = 0.3235, NZW = 632808
   23: F1: 72.06, P: 91.23, R: 59.54, RollIn = 0.3074, NZW = 634623
   24: F1: 72.27, P: 91.29, R: 59.81, RollIn = 0.2920, NZW = 636586
   25: F1: 72.41, P: 91.23, R: 60.03, RollIn = 0.2774, NZW = 634909
   26: F1: 72.80, P: 91.27, R: 60.55, RollIn = 0.2635, NZW = 633977
   27: F1: 73.20, P: 91.34, R: 61.07, RollIn = 0.2503, NZW = 635190
