[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   68: F1: 92.63, P: 93.58, R: 91.70, RollIn = 0.0306, NZW = 569595
   69: F1: 92.61, P: 93.59, R: 91.65, RollIn = 0.0290, NZW = 567208
   70: F1: 92.56, P: 93.55, R: 91.59, RollIn = 0.0276, NZW = 565715
   71: F1: 92.47, P: 93.47, R: 91.50, RollIn = 0.0262, NZW = 564992
   72: F1: 92.56, P: 93.54, R: 91.60, RollIn = 0.0249, NZW = 564639
   73: F1: 92.59, P: 93.57, R: 91.62, RollIn = 0.0236, NZW = 564274
   74: F1: 92.60, P: 93.59, R: 91.64, RollIn = 0.0225, NZW = 561823
   75: F1: 92.64, P: 93.62, R: 91.67, RollIn = 0.0213, NZW = 560241
   76: F1: 92.61, P: 93.59, R: 91.65, RollIn = 0.0203, NZW = 559721
   77: F1: 92.69, P: 93.66, R: 91.74, RollIn = 0.0193, NZW = 559733
   78: F1: 92.67, P: 93.66, R: 91.70, RollIn = 0.0183, NZW = 559834
   79: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0174, NZW = 557268
   80: F1: 92.69, P: 93.67, R: 91.72, RollIn = 0.0165, NZW = 556893
   81: F1: 92.63, P: 93.64, R: 91.64, RollIn = 0.0157, NZW = 557040
   82: F1: 92.63, P: 93.61, R: 91.67, RollIn = 0.0149, NZW = 557197
   83: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0142, NZW = 557409
   84: F1: 92.71, P: 93.68, R: 91.75, RollIn = 0.0135, NZW = 555272
   85: F1: 92.65, P: 93.63, R: 91.70, RollIn = 0.0128, NZW = 554409
   86: F1: 92.66, P: 93.64, R: 91.70, RollIn = 0.0121, NZW = 554022
   87: F1: 92.64, P: 93.59, R: 91.70, RollIn = 0.0115, NZW = 554061
   88: F1: 92.61, P: 93.56, R: 91.69, RollIn = 0.0110, NZW = 554323
   89: F1: 92.59, P: 93.56, R: 91.64, RollIn = 0.0104, NZW = 551849
   90: F1: 92.62, P: 93.55, R: 91.72, RollIn = 0.0099, NZW = 551502
   91: F1: 92.67, P: 93.57, R: 91.79, RollIn = 0.0094, NZW = 551325
