[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad-MiniBatch: learning rate = 0.02, l1 = 2.0E-6, bias = 0.0, batch = 5
   68: F1: 92.57, P: 93.54, R: 91.62, RollIn = 0.0306, NZW = 721710
   69: F1: 92.47, P: 93.42, R: 91.53, RollIn = 0.0290, NZW = 721841
   70: F1: 92.54, P: 93.46, R: 91.64, RollIn = 0.0276, NZW = 722225
   71: F1: 92.57, P: 93.51, R: 91.65, RollIn = 0.0262, NZW = 722508
   72: F1: 92.57, P: 93.46, R: 91.69, RollIn = 0.0249, NZW = 722703
   73: F1: 92.60, P: 93.53, R: 91.69, RollIn = 0.0236, NZW = 723015
   74: F1: 92.60, P: 93.54, R: 91.67, RollIn = 0.0225, NZW = 723260
   75: F1: 92.62, P: 93.59, R: 91.67, RollIn = 0.0213, NZW = 723439
   76: F1: 92.62, P: 93.58, R: 91.69, RollIn = 0.0203, NZW = 723850
   77: F1: 92.63, P: 93.59, R: 91.69, RollIn = 0.0193, NZW = 724335
   78: F1: 92.61, P: 93.59, R: 91.65, RollIn = 0.0183, NZW = 724738
   79: F1: 92.61, P: 93.55, R: 91.70, RollIn = 0.0174, NZW = 725164
   80: F1: 92.58, P: 93.53, R: 91.65, RollIn = 0.0165, NZW = 725318
   81: F1: 92.62, P: 93.58, R: 91.69, RollIn = 0.0157, NZW = 725497
   82: F1: 92.60, P: 93.54, R: 91.67, RollIn = 0.0149, NZW = 725670
   83: F1: 92.58, P: 93.51, R: 91.67, RollIn = 0.0142, NZW = 725976
   84: F1: 92.60, P: 93.56, R: 91.65, RollIn = 0.0135, NZW = 726590
   85: F1: 92.64, P: 93.58, R: 91.72, RollIn = 0.0128, NZW = 726806
   86: F1: 92.61, P: 93.56, R: 91.69, RollIn = 0.0121, NZW = 727026
   87: F1: 92.64, P: 93.59, R: 91.70, RollIn = 0.0115, NZW = 727295
   88: F1: 92.56, P: 93.48, R: 91.65, RollIn = 0.0110, NZW = 727552
   89: F1: 92.54, P: 93.48, R: 91.62, RollIn = 0.0104, NZW = 727665
   90: F1: 92.58, P: 93.53, R: 91.65, RollIn = 0.0099, NZW = 727741
   91: F1: 92.55, P: 93.57, R: 91.55, RollIn = 0.0094, NZW = 728163
   92: F1: 92.52, P: 93.50, R: 91.55, RollIn = 0.0089, NZW = 728335
   93: F1: 92.52, P: 93.47, R: 91.59, RollIn = 0.0085, NZW = 728619
   94: F1: 92.56, P: 93.54, R: 91.60, RollIn = 0.0081, NZW = 729020
   95: F1: 92.53, P: 93.50, R: 91.57, RollIn = 0.0077, NZW = 729316
   96: F1: 92.55, P: 93.55, R: 91.57, RollIn = 0.0073, NZW = 729637
   97: F1: 92.51, P: 93.53, R: 91.52, RollIn = 0.0069, NZW = 729755
   98: F1: 92.55, P: 93.52, R: 91.60, RollIn = 0.0066, NZW = 730046
   99: F1: 92.42, P: 93.43, R: 91.43, RollIn = 0.0062, NZW = 730115
  100: F1: 92.48, P: 93.50, R: 91.48, RollIn = 0.0059, NZW = 730351
  101: F1: 92.49, P: 93.47, R: 91.53, RollIn = 0.0056, NZW = 730575
  102: F1: 92.55, P: 93.49, R: 91.62, RollIn = 0.0053, NZW = 730853
  103: F1: 92.52, P: 93.50, R: 91.55, RollIn = 0.0051, NZW = 731006
  104: F1: 92.46, P: 93.44, R: 91.50, RollIn = 0.0048, NZW = 731150
  105: F1: 92.49, P: 93.48, R: 91.52, RollIn = 0.0046, NZW = 731533
  106: F1: 92.44, P: 93.43, R: 91.47, RollIn = 0.0044, NZW = 731670
  107: F1: 92.48, P: 93.48, R: 91.50, RollIn = 0.0041, NZW = 731806
  108: F1: 92.46, P: 93.45, R: 91.48, RollIn = 0.0039, NZW = 732030
  109: F1: 92.42, P: 93.38, R: 91.47, RollIn = 0.0037, NZW = 732341
  110: F1: 92.46, P: 93.45, R: 91.48, RollIn = 0.0035, NZW = 732708
  111: F1: 92.47, P: 93.47, R: 91.50, RollIn = 0.0034, NZW = 732882
  112: F1: 92.44, P: 93.45, R: 91.45, RollIn = 0.0032, NZW = 733401
  113: F1: 92.37, P: 93.36, R: 91.40, RollIn = 0.0030, NZW = 733546
  114: F1: 92.41, P: 93.43, R: 91.42, RollIn = 0.0029, NZW = 733720
  115: F1: 92.38, P: 93.37, R: 91.42, RollIn = 0.0027, NZW = 733934
  116: F1: 92.45, P: 93.43, R: 91.48, RollIn = 0.0026, NZW = 734201
  117: F1: 92.45, P: 93.43, R: 91.48, RollIn = 0.0025, NZW = 734328
  118: F1: 92.43, P: 93.43, R: 91.45, RollIn = 0.0024, NZW = 734566
  119: F1: 92.46, P: 93.45, R: 91.48, RollIn = 0.0022, NZW = 734808
  120: F1: 92.41, P: 93.38, R: 91.45, RollIn = 0.0021, NZW = 735004
  121: F1: 92.39, P: 93.37, R: 91.43, RollIn = 0.0020, NZW = 735156
  122: F1: 92.47, P: 93.45, R: 91.50, RollIn = 0.0019, NZW = 735520
  123: F1: 92.45, P: 93.45, R: 91.47, RollIn = 0.0018, NZW = 735801
  124: F1: 92.43, P: 93.43, R: 91.45, RollIn = 0.0017, NZW = 735950
  125: F1: 92.49, P: 93.50, R: 91.50, RollIn = 0.0016, NZW = 736113
  126: F1: 92.47, P: 93.45, R: 91.50, RollIn = 0.0016, NZW = 736270
  127: F1: 92.46, P: 93.47, R: 91.48, RollIn = 0.0015, NZW = 736567
  128: F1: 92.48, P: 93.48, R: 91.50, RollIn = 0.0014, NZW = 736826
  129: F1: 92.52, P: 93.52, R: 91.53, RollIn = 0.0013, NZW = 737094
  130: F1: 92.50, P: 93.50, R: 91.52, RollIn = 0.0013, NZW = 737234
  131: F1: 92.52, P: 93.55, R: 91.52, RollIn = 0.0012, NZW = 737403
  132: F1: 92.51, P: 93.52, R: 91.52, RollIn = 0.0011, NZW = 737429
  133: F1: 92.50, P: 93.50, R: 91.52, RollIn = 0.0011, NZW = 737713
  134: F1: 92.52, P: 93.55, R: 91.52, RollIn = 0.0010, NZW = 737863
  135: F1: 92.44, P: 93.43, R: 91.47, RollIn = 0.0010, NZW = 737931
  136: F1: 92.50, P: 93.52, R: 91.50, RollIn = 0.0009, NZW = 738174
  137: F1: 92.52, P: 93.52, R: 91.53, RollIn = 0.0009, NZW = 738275
  138: F1: 92.48, P: 93.47, R: 91.52, RollIn = 0.0008, NZW = 738389
  139: F1: 92.45, P: 93.42, R: 91.50, RollIn = 0.0008, NZW = 738559
  140: F1: 92.51, P: 93.44, R: 91.60, RollIn = 0.0008, NZW = 738689
  141: F1: 92.46, P: 93.44, R: 91.50, RollIn = 0.0007, NZW = 738816
  142: F1: 92.46, P: 93.44, R: 91.50, RollIn = 0.0007, NZW = 738978
  143: F1: 92.46, P: 93.45, R: 91.48, RollIn = 0.0007, NZW = 739148
  144: F1: 92.45, P: 93.43, R: 91.48, RollIn = 0.0006, NZW = 739185
  145: F1: 92.47, P: 93.45, R: 91.50, RollIn = 0.0006, NZW = 739306
  146: F1: 92.41, P: 93.38, R: 91.45, RollIn = 0.0006, NZW = 739436
  147: F1: 92.40, P: 93.38, R: 91.43, RollIn = 0.0005, NZW = 739493
  148: F1: 92.38, P: 93.37, R: 91.42, RollIn = 0.0005, NZW = 739633
  149: F1: 92.40, P: 93.41, R: 91.42, RollIn = 0.0005, NZW = 739755
  150: F1: 92.41, P: 93.40, R: 91.45, RollIn = 0.0005, NZW = 739897
  151: F1: 92.42, P: 93.42, R: 91.45, RollIn = 0.0004, NZW = 739995
  152: F1: 92.42, P: 93.43, R: 91.43, RollIn = 0.0004, NZW = 740044
  153: F1: 92.40, P: 93.38, R: 91.43, RollIn = 0.0004, NZW = 740102
  154: F1: 92.42, P: 93.42, R: 91.45, RollIn = 0.0004, NZW = 740213
  155: F1: 92.37, P: 93.33, R: 91.43, RollIn = 0.0004, NZW = 740348
  156: F1: 92.43, P: 93.40, R: 91.48, RollIn = 0.0003, NZW = 740524
  157: F1: 92.45, P: 93.46, R: 91.45, RollIn = 0.0003, NZW = 740687
  158: F1: 92.47, P: 93.45, R: 91.50, RollIn = 0.0003, NZW = 740816
  159: F1: 92.43, P: 93.40, R: 91.48, RollIn = 0.0003, NZW = 740967
  160: F1: 92.38, P: 93.34, R: 91.45, RollIn = 0.0003, NZW = 741075
  161: F1: 92.38, P: 93.35, R: 91.43, RollIn = 0.0003, NZW = 741170
  162: F1: 92.44, P: 93.42, R: 91.48, RollIn = 0.0002, NZW = 741214
  163: F1: 92.43, P: 93.43, R: 91.45, RollIn = 0.0002, NZW = 741337
  164: F1: 92.41, P: 93.40, R: 91.45, RollIn = 0.0002, NZW = 741499
  165: F1: 92.44, P: 93.45, R: 91.45, RollIn = 0.0002, NZW = 741615
  166: F1: 92.41, P: 93.41, R: 91.43, RollIn = 0.0002, NZW = 741726
  167: F1: 92.36, P: 93.36, R: 91.38, RollIn = 0.0002, NZW = 741939
  168: F1: 92.39, P: 93.40, R: 91.40, RollIn = 0.0002, NZW = 741823
  169: F1: 92.40, P: 93.43, R: 91.40, RollIn = 0.0002, NZW = 741760
  170: F1: 92.45, P: 93.46, R: 91.45, RollIn = 0.0002, NZW = 741706
  171: F1: 92.38, P: 93.41, R: 91.37, RollIn = 0.0002, NZW = 741659
  172: F1: 92.45, P: 93.45, R: 91.47, RollIn = 0.0001, NZW = 741623
  173: F1: 92.44, P: 93.46, R: 91.43, RollIn = 0.0001, NZW = 741573
  174: F1: 92.39, P: 93.40, R: 91.40, RollIn = 0.0001, NZW = 741510
  175: F1: 92.41, P: 93.40, R: 91.43, RollIn = 0.0001, NZW = 741487
  176: F1: 92.46, P: 93.47, R: 91.47, RollIn = 0.0001, NZW = 741456
  177: F1: 92.45, P: 93.48, R: 91.43, RollIn = 0.0001, NZW = 741392
  178: F1: 92.45, P: 93.46, R: 91.45, RollIn = 0.0001, NZW = 741352
  179: F1: 92.42, P: 93.43, R: 91.43, RollIn = 0.0001, NZW = 741330
  180: F1: 92.41, P: 93.46, R: 91.38, RollIn = 0.0001, NZW = 741291
  181: F1: 92.42, P: 93.42, R: 91.45, RollIn = 0.0001, NZW = 741275
  182: F1: 92.43, P: 93.45, R: 91.43, RollIn = 0.0001, NZW = 741286
  183: F1: 92.42, P: 93.45, R: 91.42, RollIn = 0.0001, NZW = 741269
  184: F1: 92.44, P: 93.49, R: 91.42, RollIn = 0.0001, NZW = 741230
  185: F1: 92.40, P: 93.41, R: 91.42, RollIn = 0.0001, NZW = 741204
  186: F1: 92.43, P: 93.43, R: 91.45, RollIn = 0.0001, NZW = 741198
  187: F1: 92.45, P: 93.48, R: 91.45, RollIn = 0.0001, NZW = 741219
  188: F1: 92.40, P: 93.40, R: 91.42, RollIn = 0.0001, NZW = 741219
  189: F1: 92.42, P: 93.45, R: 91.42, RollIn = 0.0001, NZW = 741183
  190: F1: 92.42, P: 93.43, R: 91.43, RollIn = 0.0001, NZW = 741174
  191: F1: 92.43, P: 93.45, R: 91.43, RollIn = 0.0001, NZW = 741166
  192: F1: 92.47, P: 93.50, R: 91.47, RollIn = 0.0001, NZW = 741111
  193: F1: 92.38, P: 93.40, R: 91.38, RollIn = 0.0001, NZW = 741142
  194: F1: 92.46, P: 93.47, R: 91.48, RollIn = 0.0000, NZW = 741140
  195: F1: 92.45, P: 93.48, R: 91.45, RollIn = 0.0000, NZW = 741098
  196: F1: 92.45, P: 93.45, R: 91.47, RollIn = 0.0000, NZW = 741118
  197: F1: 92.42, P: 93.42, R: 91.45, RollIn = 0.0000, NZW = 741103
  198: F1: 92.40, P: 93.41, R: 91.42, RollIn = 0.0000, NZW = 741091
  199: F1: 92.39, P: 93.38, R: 91.42, RollIn = 0.0000, NZW = 741099
  200: F1: 92.39, P: 93.35, R: 91.45, RollIn = 0.0000, NZW = 741117
  201: F1: 92.39, P: 93.40, R: 91.40, RollIn = 0.0000, NZW = 741112
  202: F1: 92.41, P: 93.40, R: 91.45, RollIn = 0.0000, NZW = 741212
  203: F1: 92.46, P: 93.44, R: 91.50, RollIn = 0.0000, NZW = 741216
  204: F1: 92.46, P: 93.45, R: 91.48, RollIn = 0.0000, NZW = 741188
  205: F1: 92.45, P: 93.46, R: 91.45, RollIn = 0.0000, NZW = 741199
  206: F1: 92.41, P: 93.43, R: 91.42, RollIn = 0.0000, NZW = 741190
  207: F1: 92.35, P: 93.35, R: 91.38, RollIn = 0.0000, NZW = 741208
  208: F1: 92.36, P: 93.35, R: 91.40, RollIn = 0.0000, NZW = 741210
  209: F1: 92.33, P: 93.31, R: 91.37, RollIn = 0.0000, NZW = 741204
  210: F1: 92.38, P: 93.40, R: 91.38, RollIn = 0.0000, NZW = 741188
  211: F1: 92.33, P: 93.34, R: 91.33, RollIn = 0.0000, NZW = 741199
  212: F1: 92.34, P: 93.36, R: 91.35, RollIn = 0.0000, NZW = 741215
  213: F1: 92.38, P: 93.43, R: 91.37, RollIn = 0.0000, NZW = 741198
  214: F1: 92.39, P: 93.41, R: 91.38, RollIn = 0.0000, NZW = 741193
  215: F1: 92.41, P: 93.44, R: 91.40, RollIn = 0.0000, NZW = 741173
  216: F1: 92.41, P: 93.44, R: 91.40, RollIn = 0.0000, NZW = 741190
  217: F1: 92.38, P: 93.43, R: 91.35, RollIn = 0.0000, NZW = 741216
