[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   68: F1: 92.77, P: 93.70, R: 91.85, RollIn = 0.0306, NZW = 488018
   69: F1: 92.76, P: 93.70, R: 91.84, RollIn = 0.0290, NZW = 485868
   70: F1: 92.74, P: 93.70, R: 91.80, RollIn = 0.0276, NZW = 484689
   71: F1: 92.78, P: 93.72, R: 91.85, RollIn = 0.0262, NZW = 484359
   72: F1: 92.76, P: 93.67, R: 91.87, RollIn = 0.0249, NZW = 484119
   73: F1: 92.85, P: 93.77, R: 91.96, RollIn = 0.0236, NZW = 484154
   74: F1: 92.86, P: 93.80, R: 91.94, RollIn = 0.0225, NZW = 482375
   75: F1: 92.82, P: 93.78, R: 91.87, RollIn = 0.0213, NZW = 481331
   76: F1: 92.78, P: 93.78, R: 91.80, RollIn = 0.0203, NZW = 481479
   77: F1: 92.75, P: 93.74, R: 91.77, RollIn = 0.0193, NZW = 481178
   78: F1: 92.77, P: 93.76, R: 91.80, RollIn = 0.0183, NZW = 480979
   79: F1: 92.83, P: 93.81, R: 91.87, RollIn = 0.0174, NZW = 478642
   80: F1: 92.78, P: 93.73, R: 91.85, RollIn = 0.0165, NZW = 477353
   81: F1: 92.82, P: 93.77, R: 91.89, RollIn = 0.0157, NZW = 477007
   82: F1: 92.78, P: 93.73, R: 91.85, RollIn = 0.0149, NZW = 476747
   83: F1: 92.76, P: 93.74, R: 91.80, RollIn = 0.0142, NZW = 476946
   84: F1: 92.77, P: 93.73, R: 91.82, RollIn = 0.0135, NZW = 474815
   85: F1: 92.75, P: 93.71, R: 91.80, RollIn = 0.0128, NZW = 474231
   86: F1: 92.77, P: 93.73, R: 91.84, RollIn = 0.0121, NZW = 474077
   87: F1: 92.79, P: 93.75, R: 91.85, RollIn = 0.0115, NZW = 474212
   88: F1: 92.82, P: 93.80, R: 91.85, RollIn = 0.0110, NZW = 474294
   89: F1: 92.78, P: 93.75, R: 91.84, RollIn = 0.0104, NZW = 471922
