[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 40.33, P: 88.83, R: 26.09, RollIn = 0.9500, NZW = 401402
    2: F1: 46.83, P: 89.14, R: 31.76, RollIn = 0.9025, NZW = 522117
    3: F1: 51.24, P: 89.69, R: 35.86, RollIn = 0.8574, NZW = 601232
    4: F1: 54.60, P: 90.56, R: 39.08, RollIn = 0.8145, NZW = 657971
    5: F1: 57.14, P: 90.80, R: 41.69, RollIn = 0.7738, NZW = 693888
    6: F1: 59.02, P: 90.87, R: 43.71, RollIn = 0.7351, NZW = 693460
    7: F1: 60.54, P: 91.08, R: 45.34, RollIn = 0.6983, NZW = 705667
    8: F1: 62.04, P: 91.10, R: 47.04, RollIn = 0.6634, NZW = 718361
    9: F1: 63.64, P: 91.48, R: 48.79, RollIn = 0.6302, NZW = 730592
   10: F1: 64.51, P: 91.45, R: 49.83, RollIn = 0.5987, NZW = 736370
   11: F1: 65.50, P: 91.44, R: 51.03, RollIn = 0.5688, NZW = 731301
   12: F1: 66.21, P: 91.40, R: 51.90, RollIn = 0.5404, NZW = 736461
   13: F1: 67.12, P: 91.56, R: 52.98, RollIn = 0.5133, NZW = 741703
   14: F1: 68.06, P: 91.43, R: 54.21, RollIn = 0.4877, NZW = 748066
   15: F1: 68.60, P: 91.37, R: 54.91, RollIn = 0.4633, NZW = 748855
   16: F1: 69.18, P: 91.38, R: 55.65, RollIn = 0.4401, NZW = 745886
   17: F1: 69.60, P: 91.29, R: 56.24, RollIn = 0.4181, NZW = 748784
   18: F1: 70.02, P: 91.38, R: 56.75, RollIn = 0.3972, NZW = 752495
   19: F1: 70.60, P: 91.57, R: 57.44, RollIn = 0.3774, NZW = 756152
   20: F1: 71.12, P: 91.50, R: 58.16, RollIn = 0.3585, NZW = 755206
   21: F1: 71.46, P: 91.51, R: 58.62, RollIn = 0.3406, NZW = 753345
   22: F1: 71.99, P: 91.53, R: 59.32, RollIn = 0.3235, NZW = 755366
   23: F1: 72.32, P: 91.52, R: 59.78, RollIn = 0.3074, NZW = 757527
   24: F1: 72.87, P: 91.73, R: 60.45, RollIn = 0.2920, NZW = 760235
   25: F1: 73.18, P: 91.75, R: 60.85, RollIn = 0.2774, NZW = 758456
   26: F1: 73.45, P: 91.78, R: 61.23, RollIn = 0.2635, NZW = 757424
   27: F1: 73.86, P: 91.84, R: 61.76, RollIn = 0.2503, NZW = 759008
   28: F1: 74.06, P: 91.87, R: 62.03, RollIn = 0.2378, NZW = 760894
   29: F1: 74.25, P: 91.86, R: 62.30, RollIn = 0.2259, NZW = 762772
   30: F1: 74.59, P: 91.94, R: 62.76, RollIn = 0.2146, NZW = 760542
   31: F1: 74.76, P: 91.84, R: 63.04, RollIn = 0.2039, NZW = 759859
   32: F1: 74.98, P: 91.87, R: 63.33, RollIn = 0.1937, NZW = 760895
   33: F1: 75.22, P: 91.82, R: 63.70, RollIn = 0.1840, NZW = 762311
   34: F1: 75.47, P: 91.86, R: 64.04, RollIn = 0.1748, NZW = 764074
   35: F1: 75.64, P: 91.89, R: 64.27, RollIn = 0.1661, NZW = 761330
   36: F1: 75.80, P: 91.87, R: 64.51, RollIn = 0.1578, NZW = 761325
   37: F1: 75.96, P: 91.88, R: 64.74, RollIn = 0.1499, NZW = 762218
   38: F1: 76.11, P: 91.90, R: 64.94, RollIn = 0.1424, NZW = 763321
   39: F1: 76.35, P: 91.96, R: 65.26, RollIn = 0.1353, NZW = 764618
   40: F1: 76.62, P: 92.07, R: 65.62, RollIn = 0.1285, NZW = 761961
   41: F1: 76.77, P: 92.09, R: 65.82, RollIn = 0.1221, NZW = 762275
   42: F1: 76.94, P: 92.09, R: 66.07, RollIn = 0.1160, NZW = 763241
   43: F1: 77.07, P: 92.13, R: 66.24, RollIn = 0.1102, NZW = 764186
   44: F1: 77.06, P: 92.03, R: 66.27, RollIn = 0.1047, NZW = 765528
   45: F1: 77.20, P: 92.05, R: 66.48, RollIn = 0.0994, NZW = 762738
   46: F1: 77.25, P: 92.00, R: 66.58, RollIn = 0.0945, NZW = 763138
   47: F1: 77.39, P: 91.98, R: 66.80, RollIn = 0.0897, NZW = 763881
   48: F1: 77.47, P: 91.97, R: 66.91, RollIn = 0.0853, NZW = 764800
   49: F1: 77.65, P: 92.02, R: 67.17, RollIn = 0.0810, NZW = 765348
   50: F1: 77.74, P: 92.02, R: 67.30, RollIn = 0.0769, NZW = 763213
   51: F1: 77.86, P: 92.01, R: 67.49, RollIn = 0.0731, NZW = 763636
   52: F1: 78.03, P: 92.06, R: 67.70, RollIn = 0.0694, NZW = 764287
   53: F1: 78.05, P: 91.94, R: 67.81, RollIn = 0.0660, NZW = 764918
   54: F1: 78.13, P: 91.92, R: 67.94, RollIn = 0.0627, NZW = 764832
   55: F1: 78.20, P: 91.87, R: 68.07, RollIn = 0.0595, NZW = 763129
   56: F1: 78.34, P: 91.95, R: 68.24, RollIn = 0.0566, NZW = 763230
   57: F1: 78.47, P: 91.93, R: 68.44, RollIn = 0.0537, NZW = 763688
   58: F1: 78.51, P: 91.92, R: 68.51, RollIn = 0.0510, NZW = 764423
   59: F1: 78.58, P: 91.97, R: 68.60, RollIn = 0.0485, NZW = 763977
   60: F1: 78.54, P: 91.86, R: 68.60, RollIn = 0.0461, NZW = 762631
   61: F1: 78.63, P: 91.90, R: 68.71, RollIn = 0.0438, NZW = 762880
   62: F1: 78.70, P: 91.83, R: 68.85, RollIn = 0.0416, NZW = 763398
   63: F1: 78.78, P: 91.82, R: 68.98, RollIn = 0.0395, NZW = 764196
   64: F1: 78.83, P: 91.83, R: 69.05, RollIn = 0.0375, NZW = 763397
   65: F1: 78.86, P: 91.80, R: 69.12, RollIn = 0.0356, NZW = 762476
   66: F1: 78.95, P: 91.87, R: 69.22, RollIn = 0.0339, NZW = 762708
   67: F1: 79.04, P: 91.90, R: 69.34, RollIn = 0.0322, NZW = 763176
   68: F1: 79.09, P: 91.93, R: 69.40, RollIn = 0.0306, NZW = 763739
   69: F1: 79.14, P: 91.94, R: 69.47, RollIn = 0.0290, NZW = 762652
   70: F1: 79.16, P: 91.86, R: 69.54, RollIn = 0.0276, NZW = 761997
   71: F1: 79.18, P: 91.85, R: 69.59, RollIn = 0.0262, NZW = 762336
   72: F1: 79.27, P: 91.86, R: 69.71, RollIn = 0.0249, NZW = 762632
   73: F1: 79.36, P: 91.88, R: 69.84, RollIn = 0.0236, NZW = 763264
   74: F1: 79.41, P: 91.86, R: 69.93, RollIn = 0.0225, NZW = 762254
   75: F1: 79.38, P: 91.82, R: 69.91, RollIn = 0.0213, NZW = 761865
   76: F1: 79.37, P: 91.67, R: 69.98, RollIn = 0.0203, NZW = 762021
   77: F1: 79.52, P: 91.75, R: 70.16, RollIn = 0.0193, NZW = 762436
   78: F1: 79.55, P: 91.71, R: 70.23, RollIn = 0.0183, NZW = 762781
   79: F1: 79.59, P: 91.68, R: 70.31, RollIn = 0.0174, NZW = 761497
   80: F1: 79.63, P: 91.69, R: 70.38, RollIn = 0.0165, NZW = 761262
   81: F1: 79.60, P: 91.65, R: 70.35, RollIn = 0.0157, NZW = 761649
   82: F1: 79.69, P: 91.64, R: 70.50, RollIn = 0.0149, NZW = 762070
   83: F1: 79.73, P: 91.65, R: 70.55, RollIn = 0.0142, NZW = 762427
