[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   68: F1: 92.72, P: 93.66, R: 91.80, RollIn = 0.0306, NZW = 608297
   69: F1: 92.85, P: 93.77, R: 91.96, RollIn = 0.0290, NZW = 606231
   70: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0276, NZW = 604512
   71: F1: 92.70, P: 93.63, R: 91.79, RollIn = 0.0262, NZW = 604009
   72: F1: 92.84, P: 93.74, R: 91.96, RollIn = 0.0249, NZW = 603526
   73: F1: 92.90, P: 93.82, R: 91.99, RollIn = 0.0236, NZW = 603407
   74: F1: 92.91, P: 93.82, R: 92.02, RollIn = 0.0225, NZW = 600669
   75: F1: 92.95, P: 93.89, R: 92.02, RollIn = 0.0213, NZW = 598967
   76: F1: 92.93, P: 93.93, R: 91.96, RollIn = 0.0203, NZW = 598796
   77: F1: 92.86, P: 93.80, R: 91.94, RollIn = 0.0193, NZW = 598718
   78: F1: 92.84, P: 93.77, R: 91.92, RollIn = 0.0183, NZW = 598704
   79: F1: 92.83, P: 93.78, R: 91.91, RollIn = 0.0174, NZW = 596114
   80: F1: 92.84, P: 93.77, R: 91.92, RollIn = 0.0165, NZW = 594791
   81: F1: 92.75, P: 93.67, R: 91.85, RollIn = 0.0157, NZW = 594098
   82: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0149, NZW = 593693
   83: F1: 92.68, P: 93.60, R: 91.79, RollIn = 0.0142, NZW = 593265
   84: F1: 92.69, P: 93.64, R: 91.75, RollIn = 0.0135, NZW = 590260
   85: F1: 92.64, P: 93.56, R: 91.74, RollIn = 0.0128, NZW = 589040
   86: F1: 92.63, P: 93.56, R: 91.72, RollIn = 0.0121, NZW = 588660
   87: F1: 92.66, P: 93.61, R: 91.74, RollIn = 0.0115, NZW = 588328
   88: F1: 92.71, P: 93.60, R: 91.84, RollIn = 0.0110, NZW = 588421
   89: F1: 92.60, P: 93.45, R: 91.77, RollIn = 0.0104, NZW = 585039
   90: F1: 92.64, P: 93.52, R: 91.79, RollIn = 0.0099, NZW = 583879
   91: F1: 92.63, P: 93.53, R: 91.74, RollIn = 0.0094, NZW = 583486
   92: F1: 92.73, P: 93.68, R: 91.80, RollIn = 0.0089, NZW = 583466
