[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 2.0E-6, bias = 0.0, batch = 5
   68: F1: 92.66, P: 93.66, R: 91.69, RollIn = 0.0306, NZW = 447753
   69: F1: 92.71, P: 93.71, R: 91.74, RollIn = 0.0290, NZW = 445803
   70: F1: 92.69, P: 93.64, R: 91.75, RollIn = 0.0276, NZW = 445180
   71: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0262, NZW = 445476
   72: F1: 92.61, P: 93.59, R: 91.65, RollIn = 0.0249, NZW = 442773
   73: F1: 92.69, P: 93.67, R: 91.72, RollIn = 0.0236, NZW = 443476
   74: F1: 92.70, P: 93.71, R: 91.72, RollIn = 0.0225, NZW = 441713
   75: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0213, NZW = 441097
   76: F1: 92.66, P: 93.63, R: 91.72, RollIn = 0.0203, NZW = 441171
   77: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0193, NZW = 438960
   78: F1: 92.66, P: 93.61, R: 91.74, RollIn = 0.0183, NZW = 438997
   79: F1: 92.63, P: 93.58, R: 91.70, RollIn = 0.0174, NZW = 436666
   80: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0165, NZW = 436770
   81: F1: 92.66, P: 93.64, R: 91.70, RollIn = 0.0157, NZW = 436126
   82: F1: 92.57, P: 93.57, R: 91.59, RollIn = 0.0149, NZW = 434808
   83: F1: 92.61, P: 93.57, R: 91.67, RollIn = 0.0142, NZW = 435917
   84: F1: 92.60, P: 93.59, R: 91.64, RollIn = 0.0135, NZW = 433507
   85: F1: 92.59, P: 93.59, R: 91.62, RollIn = 0.0128, NZW = 433920
   86: F1: 92.54, P: 93.52, R: 91.59, RollIn = 0.0121, NZW = 432899
   87: F1: 92.53, P: 93.52, R: 91.57, RollIn = 0.0115, NZW = 431588
   88: F1: 92.50, P: 93.50, R: 91.52, RollIn = 0.0110, NZW = 432733
   89: F1: 92.51, P: 93.46, R: 91.59, RollIn = 0.0104, NZW = 430533
   90: F1: 92.58, P: 93.53, R: 91.65, RollIn = 0.0099, NZW = 430865
   91: F1: 92.52, P: 93.55, R: 91.52, RollIn = 0.0094, NZW = 429514
   92: F1: 92.56, P: 93.57, R: 91.57, RollIn = 0.0089, NZW = 428700
   93: F1: 92.61, P: 93.63, R: 91.60, RollIn = 0.0085, NZW = 428504
   94: F1: 92.57, P: 93.60, R: 91.57, RollIn = 0.0081, NZW = 426521
   95: F1: 92.54, P: 93.61, R: 91.50, RollIn = 0.0077, NZW = 427236
   96: F1: 92.48, P: 93.56, R: 91.43, RollIn = 0.0073, NZW = 425490
   97: F1: 92.57, P: 93.60, R: 91.57, RollIn = 0.0069, NZW = 424954
   98: F1: 92.53, P: 93.55, R: 91.53, RollIn = 0.0066, NZW = 424789
   99: F1: 92.57, P: 93.55, R: 91.60, RollIn = 0.0062, NZW = 423412
  100: F1: 92.57, P: 93.58, R: 91.57, RollIn = 0.0059, NZW = 424185
  101: F1: 92.56, P: 93.63, R: 91.52, RollIn = 0.0056, NZW = 422582
  102: F1: 92.57, P: 93.58, R: 91.57, RollIn = 0.0053, NZW = 422389
  103: F1: 92.62, P: 93.65, R: 91.62, RollIn = 0.0051, NZW = 421606
  104: F1: 92.60, P: 93.59, R: 91.64, RollIn = 0.0048, NZW = 420259
  105: F1: 92.54, P: 93.52, R: 91.59, RollIn = 0.0046, NZW = 421538
  106: F1: 92.55, P: 93.54, R: 91.59, RollIn = 0.0044, NZW = 419585
  107: F1: 92.58, P: 93.57, R: 91.60, RollIn = 0.0041, NZW = 419758
  108: F1: 92.58, P: 93.59, R: 91.60, RollIn = 0.0039, NZW = 418533
  109: F1: 92.60, P: 93.63, R: 91.59, RollIn = 0.0037, NZW = 417945
  110: F1: 92.63, P: 93.67, R: 91.62, RollIn = 0.0035, NZW = 418272
  111: F1: 92.63, P: 93.64, R: 91.65, RollIn = 0.0034, NZW = 415886
  112: F1: 92.59, P: 93.57, R: 91.62, RollIn = 0.0032, NZW = 416871
  113: F1: 92.65, P: 93.62, R: 91.69, RollIn = 0.0030, NZW = 415663
  114: F1: 92.63, P: 93.59, R: 91.69, RollIn = 0.0029, NZW = 414986
  115: F1: 92.58, P: 93.57, R: 91.60, RollIn = 0.0027, NZW = 415326
  116: F1: 92.59, P: 93.56, R: 91.64, RollIn = 0.0026, NZW = 413677
  117: F1: 92.59, P: 93.59, R: 91.62, RollIn = 0.0025, NZW = 414231
  118: F1: 92.63, P: 93.61, R: 91.67, RollIn = 0.0024, NZW = 413030
  119: F1: 92.57, P: 93.55, R: 91.60, RollIn = 0.0022, NZW = 413098
  120: F1: 92.58, P: 93.59, R: 91.60, RollIn = 0.0021, NZW = 413105
  121: F1: 92.57, P: 93.55, R: 91.60, RollIn = 0.0020, NZW = 411815
  122: F1: 92.65, P: 93.67, R: 91.65, RollIn = 0.0019, NZW = 412669
  123: F1: 92.69, P: 93.71, R: 91.70, RollIn = 0.0018, NZW = 411113
  124: F1: 92.68, P: 93.67, R: 91.70, RollIn = 0.0017, NZW = 411260
  125: F1: 92.66, P: 93.63, R: 91.72, RollIn = 0.0016, NZW = 410940
  126: F1: 92.64, P: 93.61, R: 91.69, RollIn = 0.0016, NZW = 410103
  127: F1: 92.65, P: 93.62, R: 91.69, RollIn = 0.0015, NZW = 410979
  128: F1: 92.62, P: 93.61, R: 91.65, RollIn = 0.0014, NZW = 409261
  129: F1: 92.58, P: 93.56, R: 91.62, RollIn = 0.0013, NZW = 409587
  130: F1: 92.61, P: 93.57, R: 91.67, RollIn = 0.0013, NZW = 408881
  131: F1: 92.61, P: 93.55, R: 91.70, RollIn = 0.0012, NZW = 408356
  132: F1: 92.63, P: 93.59, R: 91.69, RollIn = 0.0011, NZW = 408882
  133: F1: 92.65, P: 93.59, R: 91.72, RollIn = 0.0011, NZW = 407169
  134: F1: 92.64, P: 93.61, R: 91.69, RollIn = 0.0010, NZW = 407798
  135: F1: 92.59, P: 93.54, R: 91.65, RollIn = 0.0010, NZW = 406585
  136: F1: 92.64, P: 93.59, R: 91.70, RollIn = 0.0009, NZW = 406211
  137: F1: 92.67, P: 93.63, R: 91.74, RollIn = 0.0009, NZW = 406627
  138: F1: 92.62, P: 93.59, R: 91.67, RollIn = 0.0008, NZW = 405300
  139: F1: 92.65, P: 93.64, R: 91.69, RollIn = 0.0008, NZW = 405868
  140: F1: 92.61, P: 93.60, R: 91.64, RollIn = 0.0008, NZW = 404455
  141: F1: 92.59, P: 93.57, R: 91.62, RollIn = 0.0007, NZW = 404407
  142: F1: 92.59, P: 93.57, R: 91.64, RollIn = 0.0007, NZW = 403970
  143: F1: 92.59, P: 93.54, R: 91.65, RollIn = 0.0007, NZW = 402719
  144: F1: 92.61, P: 93.56, R: 91.69, RollIn = 0.0006, NZW = 402886
  145: F1: 92.61, P: 93.55, R: 91.70, RollIn = 0.0006, NZW = 401504
