[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, bias = 0.5, batch = 5
   69: F1: 92.79, P: 93.63, R: 91.97, RollIn = 0.0290, NZW = 881190
   70: F1: 92.74, P: 93.58, R: 91.92, RollIn = 0.0276, NZW = 881902
   71: F1: 92.81, P: 93.63, R: 92.01, RollIn = 0.0262, NZW = 882581
   72: F1: 92.83, P: 93.65, R: 92.02, RollIn = 0.0249, NZW = 883227
   73: F1: 92.83, P: 93.66, R: 92.01, RollIn = 0.0236, NZW = 883989
   74: F1: 92.76, P: 93.59, R: 91.94, RollIn = 0.0225, NZW = 884613
   75: F1: 92.84, P: 93.68, R: 92.02, RollIn = 0.0213, NZW = 885235
   76: F1: 92.82, P: 93.65, R: 92.01, RollIn = 0.0203, NZW = 885740
   77: F1: 92.77, P: 93.61, R: 91.94, RollIn = 0.0193, NZW = 886390
   78: F1: 92.82, P: 93.66, R: 91.99, RollIn = 0.0183, NZW = 886957
   79: F1: 92.82, P: 93.66, R: 91.99, RollIn = 0.0174, NZW = 887629
   80: F1: 92.81, P: 93.66, R: 91.97, RollIn = 0.0165, NZW = 888066
   81: F1: 92.81, P: 93.66, R: 91.97, RollIn = 0.0157, NZW = 888571
   82: F1: 92.75, P: 93.61, R: 91.91, RollIn = 0.0149, NZW = 889126
   83: F1: 92.76, P: 93.61, R: 91.92, RollIn = 0.0142, NZW = 889796
   84: F1: 92.73, P: 93.59, R: 91.89, RollIn = 0.0135, NZW = 890261
   85: F1: 92.73, P: 93.59, R: 91.89, RollIn = 0.0128, NZW = 890767
   86: F1: 92.76, P: 93.64, R: 91.91, RollIn = 0.0121, NZW = 891370
   87: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0115, NZW = 891882
   88: F1: 92.71, P: 93.59, R: 91.85, RollIn = 0.0110, NZW = 892225
   89: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0104, NZW = 892586
   90: F1: 92.72, P: 93.59, R: 91.87, RollIn = 0.0099, NZW = 893069
   91: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0094, NZW = 893477
   92: F1: 92.76, P: 93.62, R: 91.92, RollIn = 0.0089, NZW = 894018
   93: F1: 92.76, P: 93.62, R: 91.91, RollIn = 0.0085, NZW = 894440
   94: F1: 92.79, P: 93.66, R: 91.94, RollIn = 0.0081, NZW = 894946
   95: F1: 92.77, P: 93.64, R: 91.92, RollIn = 0.0077, NZW = 895299
   96: F1: 92.75, P: 93.62, R: 91.89, RollIn = 0.0073, NZW = 895681
