[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad-MiniBatch: learning rate = 0.005, l1 = 2.0E-6, bias = 0.5, batch = 5
   67: F1: 92.49, P: 93.58, R: 91.43, RollIn = 0.0322, NZW = 1581227
   68: F1: 92.52, P: 93.61, R: 91.45, RollIn = 0.0306, NZW = 1582793
   69: F1: 92.48, P: 93.56, R: 91.42, RollIn = 0.0290, NZW = 1584601
   70: F1: 92.53, P: 93.61, R: 91.47, RollIn = 0.0276, NZW = 1586396
   71: F1: 92.54, P: 93.61, R: 91.50, RollIn = 0.0262, NZW = 1587877
   72: F1: 92.58, P: 93.65, R: 91.53, RollIn = 0.0249, NZW = 1589568
   73: F1: 92.54, P: 93.64, R: 91.47, RollIn = 0.0236, NZW = 1591157
   74: F1: 92.56, P: 93.66, R: 91.48, RollIn = 0.0225, NZW = 1592724
   75: F1: 92.57, P: 93.68, R: 91.48, RollIn = 0.0213, NZW = 1593962
   76: F1: 92.62, P: 93.70, R: 91.57, RollIn = 0.0203, NZW = 1595164
   77: F1: 92.58, P: 93.65, R: 91.53, RollIn = 0.0193, NZW = 1596196
   78: F1: 92.59, P: 93.66, R: 91.53, RollIn = 0.0183, NZW = 1597405
   79: F1: 92.61, P: 93.68, R: 91.57, RollIn = 0.0174, NZW = 1598581
   80: F1: 92.60, P: 93.66, R: 91.55, RollIn = 0.0165, NZW = 1600003
   81: F1: 92.57, P: 93.63, R: 91.53, RollIn = 0.0157, NZW = 1601117
   82: F1: 92.59, P: 93.65, R: 91.55, RollIn = 0.0149, NZW = 1602434
   83: F1: 92.59, P: 93.68, R: 91.53, RollIn = 0.0142, NZW = 1603515
   84: F1: 92.58, P: 93.63, R: 91.55, RollIn = 0.0135, NZW = 1604487
   85: F1: 92.60, P: 93.67, R: 91.57, RollIn = 0.0128, NZW = 1605562
   86: F1: 92.58, P: 93.63, R: 91.55, RollIn = 0.0121, NZW = 1606488
   87: F1: 92.58, P: 93.63, R: 91.55, RollIn = 0.0115, NZW = 1607718
   88: F1: 92.60, P: 93.66, R: 91.55, RollIn = 0.0110, NZW = 1608652
   89: F1: 92.56, P: 93.60, R: 91.55, RollIn = 0.0104, NZW = 1609497
   90: F1: 92.58, P: 93.63, R: 91.55, RollIn = 0.0099, NZW = 1610606
   91: F1: 92.58, P: 93.60, R: 91.59, RollIn = 0.0094, NZW = 1611659
   92: F1: 92.56, P: 93.60, R: 91.55, RollIn = 0.0089, NZW = 1612523
   93: F1: 92.60, P: 93.62, R: 91.60, RollIn = 0.0085, NZW = 1613430
   94: F1: 92.58, P: 93.59, R: 91.60, RollIn = 0.0081, NZW = 1614425
   95: F1: 92.59, P: 93.60, R: 91.60, RollIn = 0.0077, NZW = 1615297
   96: F1: 92.61, P: 93.63, R: 91.60, RollIn = 0.0073, NZW = 1616120
   97: F1: 92.62, P: 93.64, R: 91.62, RollIn = 0.0069, NZW = 1616862
   98: F1: 92.62, P: 93.65, R: 91.62, RollIn = 0.0066, NZW = 1617602
   99: F1: 92.64, P: 93.67, R: 91.64, RollIn = 0.0062, NZW = 1618309
  100: F1: 92.61, P: 93.67, R: 91.59, RollIn = 0.0059, NZW = 1619078
  101: F1: 92.63, P: 93.65, R: 91.64, RollIn = 0.0056, NZW = 1619755
  102: F1: 92.64, P: 93.70, R: 91.60, RollIn = 0.0053, NZW = 1620485
  103: F1: 92.62, P: 93.67, R: 91.60, RollIn = 0.0051, NZW = 1621308
  104: F1: 92.65, P: 93.72, R: 91.60, RollIn = 0.0048, NZW = 1622116
  105: F1: 92.62, P: 93.68, R: 91.59, RollIn = 0.0046, NZW = 1622850
  106: F1: 92.67, P: 93.72, R: 91.64, RollIn = 0.0044, NZW = 1623547
  107: F1: 92.60, P: 93.70, R: 91.53, RollIn = 0.0041, NZW = 1624060
  108: F1: 92.62, P: 93.70, R: 91.57, RollIn = 0.0039, NZW = 1624732
  109: F1: 92.61, P: 93.70, R: 91.55, RollIn = 0.0037, NZW = 1625282
  110: F1: 92.62, P: 93.70, R: 91.57, RollIn = 0.0035, NZW = 1625710
  111: F1: 92.65, P: 93.73, R: 91.59, RollIn = 0.0034, NZW = 1626419
  112: F1: 92.60, P: 93.70, R: 91.53, RollIn = 0.0032, NZW = 1626958
  113: F1: 92.65, P: 93.75, R: 91.59, RollIn = 0.0030, NZW = 1627600
  114: F1: 92.66, P: 93.75, R: 91.60, RollIn = 0.0029, NZW = 1628267
  115: F1: 92.65, P: 93.75, R: 91.59, RollIn = 0.0027, NZW = 1628833
  116: F1: 92.64, P: 93.75, R: 91.57, RollIn = 0.0026, NZW = 1629605
  117: F1: 92.63, P: 93.73, R: 91.55, RollIn = 0.0025, NZW = 1630189
  118: F1: 92.62, P: 93.73, R: 91.53, RollIn = 0.0024, NZW = 1630765
  119: F1: 92.64, P: 93.74, R: 91.55, RollIn = 0.0022, NZW = 1631490
  120: F1: 92.63, P: 93.74, R: 91.53, RollIn = 0.0021, NZW = 1631978
  121: F1: 92.63, P: 93.73, R: 91.55, RollIn = 0.0020, NZW = 1632436
  122: F1: 92.64, P: 93.76, R: 91.55, RollIn = 0.0019, NZW = 1632926
  123: F1: 92.63, P: 93.76, R: 91.53, RollIn = 0.0018, NZW = 1633496
  124: F1: 92.63, P: 93.74, R: 91.53, RollIn = 0.0017, NZW = 1634015
  125: F1: 92.62, P: 93.76, R: 91.52, RollIn = 0.0016, NZW = 1634601
  126: F1: 92.62, P: 93.76, R: 91.52, RollIn = 0.0016, NZW = 1635073
  127: F1: 92.64, P: 93.78, R: 91.53, RollIn = 0.0015, NZW = 1635571
  128: F1: 92.62, P: 93.76, R: 91.52, RollIn = 0.0014, NZW = 1636048
  129: F1: 92.65, P: 93.78, R: 91.55, RollIn = 0.0013, NZW = 1636424
  130: F1: 92.63, P: 93.76, R: 91.53, RollIn = 0.0013, NZW = 1637056
  131: F1: 92.63, P: 93.76, R: 91.53, RollIn = 0.0012, NZW = 1637496
  132: F1: 92.61, P: 93.74, R: 91.50, RollIn = 0.0011, NZW = 1637901
  133: F1: 92.59, P: 93.74, R: 91.47, RollIn = 0.0011, NZW = 1638288
  134: F1: 92.59, P: 93.74, R: 91.47, RollIn = 0.0010, NZW = 1638661
  135: F1: 92.61, P: 93.76, R: 91.48, RollIn = 0.0010, NZW = 1639155
  136: F1: 92.61, P: 93.74, R: 91.50, RollIn = 0.0009, NZW = 1639608
  137: F1: 92.59, P: 93.72, R: 91.48, RollIn = 0.0009, NZW = 1639915
  138: F1: 92.56, P: 93.71, R: 91.45, RollIn = 0.0008, NZW = 1640250
  139: F1: 92.58, P: 93.74, R: 91.45, RollIn = 0.0008, NZW = 1640617
  140: F1: 92.56, P: 93.72, R: 91.43, RollIn = 0.0008, NZW = 1641090
  141: F1: 92.55, P: 93.70, R: 91.42, RollIn = 0.0007, NZW = 1641428
  142: F1: 92.56, P: 93.72, R: 91.43, RollIn = 0.0007, NZW = 1641906
  143: F1: 92.56, P: 93.70, R: 91.43, RollIn = 0.0007, NZW = 1642279
  144: F1: 92.54, P: 93.69, R: 91.42, RollIn = 0.0006, NZW = 1642603
  145: F1: 92.56, P: 93.71, R: 91.45, RollIn = 0.0006, NZW = 1643058
  146: F1: 92.56, P: 93.70, R: 91.43, RollIn = 0.0006, NZW = 1643491
  147: F1: 92.56, P: 93.72, R: 91.43, RollIn = 0.0005, NZW = 1643780
  148: F1: 92.57, P: 93.72, R: 91.45, RollIn = 0.0005, NZW = 1644243
  149: F1: 92.54, P: 93.69, R: 91.42, RollIn = 0.0005, NZW = 1644545
  150: F1: 92.56, P: 93.70, R: 91.43, RollIn = 0.0005, NZW = 1644835
  151: F1: 92.56, P: 93.72, R: 91.43, RollIn = 0.0004, NZW = 1645248
  152: F1: 92.57, P: 93.72, R: 91.45, RollIn = 0.0004, NZW = 1645576
  153: F1: 92.57, P: 93.72, R: 91.45, RollIn = 0.0004, NZW = 1645869
  154: F1: 92.54, P: 93.69, R: 91.42, RollIn = 0.0004, NZW = 1646226
  155: F1: 92.61, P: 93.76, R: 91.48, RollIn = 0.0004, NZW = 1646639
  156: F1: 92.59, P: 93.74, R: 91.47, RollIn = 0.0003, NZW = 1646889
  157: F1: 92.56, P: 93.70, R: 91.43, RollIn = 0.0003, NZW = 1647291
  158: F1: 92.59, P: 93.72, R: 91.48, RollIn = 0.0003, NZW = 1647703
