[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 91.15, P: 92.42, R: 89.92, RollIn = 0.9500, NZW = 490782
    2: F1: 91.74, P: 92.86, R: 90.64, RollIn = 0.9025, NZW = 582301
    3: F1: 92.38, P: 93.47, R: 91.32, RollIn = 0.8574, NZW = 632755
    4: F1: 92.50, P: 93.49, R: 91.53, RollIn = 0.8145, NZW = 667858
    5: F1: 92.38, P: 93.25, R: 91.53, RollIn = 0.7738, NZW = 689409
    6: F1: 92.52, P: 93.34, R: 91.72, RollIn = 0.7351, NZW = 684318
    7: F1: 92.66, P: 93.55, R: 91.79, RollIn = 0.6983, NZW = 687421
    8: F1: 92.75, P: 93.58, R: 91.94, RollIn = 0.6634, NZW = 692425
    9: F1: 92.88, P: 93.71, R: 92.06, RollIn = 0.6302, NZW = 699214
   10: F1: 92.77, P: 93.56, R: 91.99, RollIn = 0.5987, NZW = 700030
   11: F1: 92.62, P: 93.49, R: 91.77, RollIn = 0.5688, NZW = 692323
   12: F1: 92.80, P: 93.58, R: 92.02, RollIn = 0.5404, NZW = 691108
   13: F1: 92.84, P: 93.62, R: 92.07, RollIn = 0.5133, NZW = 692434
   14: F1: 92.70, P: 93.50, R: 91.92, RollIn = 0.4877, NZW = 695315
   15: F1: 92.79, P: 93.55, R: 92.04, RollIn = 0.4633, NZW = 692456
   16: F1: 92.73, P: 93.53, R: 91.94, RollIn = 0.4401, NZW = 686553
   17: F1: 92.73, P: 93.54, R: 91.92, RollIn = 0.4181, NZW = 685454
   18: F1: 92.85, P: 93.65, R: 92.06, RollIn = 0.3972, NZW = 685431
   19: F1: 92.70, P: 93.51, R: 91.91, RollIn = 0.3774, NZW = 686951
   20: F1: 92.72, P: 93.53, R: 91.92, RollIn = 0.3585, NZW = 683020
   21: F1: 92.78, P: 93.61, R: 91.97, RollIn = 0.3406, NZW = 677802
   22: F1: 92.75, P: 93.55, R: 91.97, RollIn = 0.3235, NZW = 676779
   23: F1: 92.67, P: 93.43, R: 91.92, RollIn = 0.3074, NZW = 676199
   24: F1: 92.71, P: 93.54, R: 91.89, RollIn = 0.2920, NZW = 676315
   25: F1: 92.67, P: 93.49, R: 91.85, RollIn = 0.2774, NZW = 670258
   26: F1: 92.81, P: 93.61, R: 92.02, RollIn = 0.2635, NZW = 665988
   27: F1: 92.74, P: 93.55, R: 91.96, RollIn = 0.2503, NZW = 665905
   28: F1: 92.83, P: 93.69, R: 91.99, RollIn = 0.2378, NZW = 666522
   29: F1: 92.91, P: 93.82, R: 92.02, RollIn = 0.2259, NZW = 667537
   30: F1: 92.81, P: 93.69, R: 91.94, RollIn = 0.2146, NZW = 663172
   31: F1: 92.83, P: 93.68, R: 92.01, RollIn = 0.2039, NZW = 660772
   32: F1: 92.79, P: 93.64, R: 91.96, RollIn = 0.1937, NZW = 660782
   33: F1: 92.79, P: 93.63, R: 91.97, RollIn = 0.1840, NZW = 660592
   34: F1: 92.74, P: 93.58, R: 91.92, RollIn = 0.1748, NZW = 661059
   35: F1: 92.82, P: 93.68, R: 91.97, RollIn = 0.1661, NZW = 656227
   36: F1: 92.81, P: 93.67, R: 91.96, RollIn = 0.1578, NZW = 654121
