[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   68: F1: 92.72, P: 93.57, R: 91.89, RollIn = 0.0306, NZW = 496157
   69: F1: 92.77, P: 93.61, R: 91.94, RollIn = 0.0290, NZW = 494851
   70: F1: 92.82, P: 93.66, R: 91.99, RollIn = 0.0276, NZW = 493301
   71: F1: 92.72, P: 93.54, R: 91.91, RollIn = 0.0262, NZW = 492848
   72: F1: 92.71, P: 93.56, R: 91.87, RollIn = 0.0249, NZW = 492776
   73: F1: 92.71, P: 93.59, R: 91.85, RollIn = 0.0236, NZW = 492815
   74: F1: 92.77, P: 93.64, R: 91.92, RollIn = 0.0225, NZW = 491270
   75: F1: 92.79, P: 93.69, R: 91.91, RollIn = 0.0213, NZW = 490309
   76: F1: 92.78, P: 93.66, R: 91.92, RollIn = 0.0203, NZW = 489881
   77: F1: 92.74, P: 93.62, R: 91.87, RollIn = 0.0193, NZW = 489713
   78: F1: 92.70, P: 93.57, R: 91.85, RollIn = 0.0183, NZW = 490238
   79: F1: 92.74, P: 93.61, R: 91.89, RollIn = 0.0174, NZW = 488247
   80: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.0165, NZW = 487413
   81: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.0157, NZW = 487053
   82: F1: 92.76, P: 93.67, R: 91.87, RollIn = 0.0149, NZW = 486649
   83: F1: 92.77, P: 93.67, R: 91.89, RollIn = 0.0142, NZW = 486311
   84: F1: 92.80, P: 93.67, R: 91.94, RollIn = 0.0135, NZW = 484110
   85: F1: 92.81, P: 93.69, R: 91.96, RollIn = 0.0128, NZW = 483424
