[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 39.81, P: 90.09, R: 25.55, RollIn = 0.9500, NZW = 458494
    2: F1: 46.69, P: 91.11, R: 31.39, RollIn = 0.9025, NZW = 594572
    3: F1: 50.68, P: 91.67, R: 35.02, RollIn = 0.8574, NZW = 685541
    4: F1: 54.16, P: 92.05, R: 38.37, RollIn = 0.8145, NZW = 751399
    5: F1: 56.80, P: 91.74, R: 41.13, RollIn = 0.7738, NZW = 792723
    6: F1: 58.43, P: 91.75, R: 42.86, RollIn = 0.7351, NZW = 791672
    7: F1: 60.43, P: 91.80, R: 45.04, RollIn = 0.6983, NZW = 805896
    8: F1: 62.30, P: 92.04, R: 47.09, RollIn = 0.6634, NZW = 820336
    9: F1: 63.77, P: 92.29, R: 48.72, RollIn = 0.6302, NZW = 834902
   10: F1: 64.97, P: 92.20, R: 50.15, RollIn = 0.5987, NZW = 841247
   11: F1: 65.98, P: 92.13, R: 51.40, RollIn = 0.5688, NZW = 835369
   12: F1: 66.71, P: 92.17, R: 52.27, RollIn = 0.5404, NZW = 841148
   13: F1: 67.51, P: 92.19, R: 53.25, RollIn = 0.5133, NZW = 847640
   14: F1: 68.15, P: 92.24, R: 54.04, RollIn = 0.4877, NZW = 854493
   15: F1: 68.79, P: 91.97, R: 54.95, RollIn = 0.4633, NZW = 855272
   16: F1: 69.30, P: 91.98, R: 55.59, RollIn = 0.4401, NZW = 851869
   17: F1: 69.98, P: 92.09, R: 56.43, RollIn = 0.4181, NZW = 855212
   18: F1: 70.52, P: 92.06, R: 57.15, RollIn = 0.3972, NZW = 859007
   19: F1: 71.09, P: 92.12, R: 57.88, RollIn = 0.3774, NZW = 863505
   20: F1: 71.43, P: 92.13, R: 58.33, RollIn = 0.3585, NZW = 862115
   21: F1: 71.81, P: 92.12, R: 58.84, RollIn = 0.3406, NZW = 859786
   22: F1: 72.19, P: 92.11, R: 59.36, RollIn = 0.3235, NZW = 862063
   23: F1: 72.70, P: 92.24, R: 60.00, RollIn = 0.3074, NZW = 864550
   24: F1: 73.06, P: 92.22, R: 60.48, RollIn = 0.2920, NZW = 867955
   25: F1: 73.32, P: 92.24, R: 60.84, RollIn = 0.2774, NZW = 865647
   26: F1: 73.58, P: 92.17, R: 61.23, RollIn = 0.2635, NZW = 864291
   27: F1: 73.75, P: 92.02, R: 61.53, RollIn = 0.2503, NZW = 865845
   28: F1: 73.94, P: 91.94, R: 61.83, RollIn = 0.2378, NZW = 868141
   29: F1: 74.28, P: 92.00, R: 62.29, RollIn = 0.2259, NZW = 870417
   30: F1: 74.52, P: 91.97, R: 62.64, RollIn = 0.2146, NZW = 867430
   31: F1: 74.72, P: 91.96, R: 62.92, RollIn = 0.2039, NZW = 866712
   32: F1: 74.91, P: 92.05, R: 63.14, RollIn = 0.1937, NZW = 868036
   33: F1: 75.23, P: 92.06, R: 63.60, RollIn = 0.1840, NZW = 869783
   34: F1: 75.39, P: 92.13, R: 63.80, RollIn = 0.1748, NZW = 871478
   35: F1: 75.52, P: 92.06, R: 64.02, RollIn = 0.1661, NZW = 868136
