[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, l1 = 1.0E-6, bias = 0.5, batch = 5
   67: F1: 92.32, P: 93.62, R: 91.06, RollIn = 0.0322, NZW = 1022962
   68: F1: 92.32, P: 93.65, R: 91.03, RollIn = 0.0306, NZW = 1023685
   69: F1: 92.35, P: 93.67, R: 91.08, RollIn = 0.0290, NZW = 1022349
   70: F1: 92.36, P: 93.67, R: 91.10, RollIn = 0.0276, NZW = 1021388
   71: F1: 92.37, P: 93.68, R: 91.10, RollIn = 0.0262, NZW = 1020984
   72: F1: 92.35, P: 93.66, R: 91.06, RollIn = 0.0249, NZW = 1021509
   73: F1: 92.38, P: 93.68, R: 91.11, RollIn = 0.0236, NZW = 1022004
   74: F1: 92.37, P: 93.65, R: 91.11, RollIn = 0.0225, NZW = 1020270
   75: F1: 92.37, P: 93.65, R: 91.13, RollIn = 0.0213, NZW = 1019349
   76: F1: 92.40, P: 93.67, R: 91.16, RollIn = 0.0203, NZW = 1019496
   77: F1: 92.37, P: 93.65, R: 91.13, RollIn = 0.0193, NZW = 1019511
   78: F1: 92.40, P: 93.67, R: 91.16, RollIn = 0.0183, NZW = 1019876
   79: F1: 92.33, P: 93.62, R: 91.08, RollIn = 0.0174, NZW = 1017864
   80: F1: 92.37, P: 93.65, R: 91.11, RollIn = 0.0165, NZW = 1017606
   81: F1: 92.37, P: 93.64, R: 91.13, RollIn = 0.0157, NZW = 1017828
   82: F1: 92.36, P: 93.64, R: 91.11, RollIn = 0.0149, NZW = 1018090
   83: F1: 92.37, P: 93.64, R: 91.13, RollIn = 0.0142, NZW = 1018826
   84: F1: 92.37, P: 93.62, R: 91.15, RollIn = 0.0135, NZW = 1016510
   85: F1: 92.38, P: 93.62, R: 91.16, RollIn = 0.0128, NZW = 1016539
   86: F1: 92.40, P: 93.66, R: 91.18, RollIn = 0.0121, NZW = 1016544
   87: F1: 92.38, P: 93.61, R: 91.18, RollIn = 0.0115, NZW = 1016944
   88: F1: 92.40, P: 93.62, R: 91.20, RollIn = 0.0110, NZW = 1017709
   89: F1: 92.37, P: 93.61, R: 91.16, RollIn = 0.0104, NZW = 1015259
   90: F1: 92.37, P: 93.61, R: 91.16, RollIn = 0.0099, NZW = 1014700
   91: F1: 92.36, P: 93.58, R: 91.18, RollIn = 0.0094, NZW = 1014704
   92: F1: 92.38, P: 93.59, R: 91.20, RollIn = 0.0089, NZW = 1014807
   93: F1: 92.38, P: 93.59, R: 91.20, RollIn = 0.0085, NZW = 1015076
   94: F1: 92.40, P: 93.59, R: 91.23, RollIn = 0.0081, NZW = 1013154
   95: F1: 92.38, P: 93.58, R: 91.22, RollIn = 0.0077, NZW = 1013251
   96: F1: 92.36, P: 93.58, R: 91.18, RollIn = 0.0073, NZW = 1013121
   97: F1: 92.37, P: 93.58, R: 91.20, RollIn = 0.0069, NZW = 1013225
   98: F1: 92.43, P: 93.61, R: 91.28, RollIn = 0.0066, NZW = 1012645
   99: F1: 92.42, P: 93.61, R: 91.27, RollIn = 0.0062, NZW = 1011023
  100: F1: 92.40, P: 93.59, R: 91.23, RollIn = 0.0059, NZW = 1011057
  101: F1: 92.42, P: 93.61, R: 91.25, RollIn = 0.0056, NZW = 1011236
  102: F1: 92.44, P: 93.63, R: 91.28, RollIn = 0.0053, NZW = 1011522
  103: F1: 92.44, P: 93.63, R: 91.28, RollIn = 0.0051, NZW = 1010896
  104: F1: 92.44, P: 93.63, R: 91.28, RollIn = 0.0048, NZW = 1009635
  105: F1: 92.47, P: 93.68, R: 91.30, RollIn = 0.0046, NZW = 1009529
  106: F1: 92.52, P: 93.72, R: 91.35, RollIn = 0.0044, NZW = 1009849
  107: F1: 92.53, P: 93.70, R: 91.38, RollIn = 0.0041, NZW = 1010175
  108: F1: 92.48, P: 93.65, R: 91.33, RollIn = 0.0039, NZW = 1009144
  109: F1: 92.47, P: 93.63, R: 91.33, RollIn = 0.0037, NZW = 1007899
  110: F1: 92.47, P: 93.62, R: 91.35, RollIn = 0.0035, NZW = 1007675
  111: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0034, NZW = 1007402
  112: F1: 92.52, P: 93.67, R: 91.40, RollIn = 0.0032, NZW = 1007275
  113: F1: 92.54, P: 93.69, R: 91.42, RollIn = 0.0030, NZW = 1006051
  114: F1: 92.52, P: 93.67, R: 91.40, RollIn = 0.0029, NZW = 1005015
  115: F1: 92.50, P: 93.65, R: 91.38, RollIn = 0.0027, NZW = 1004790
  116: F1: 92.50, P: 93.65, R: 91.38, RollIn = 0.0026, NZW = 1004890
  117: F1: 92.48, P: 93.62, R: 91.37, RollIn = 0.0025, NZW = 1004915
  118: F1: 92.54, P: 93.69, R: 91.42, RollIn = 0.0024, NZW = 1003195
  119: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0022, NZW = 1002333
  120: F1: 92.53, P: 93.67, R: 91.42, RollIn = 0.0021, NZW = 1002080
  121: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0020, NZW = 1002257
  122: F1: 92.51, P: 93.64, R: 91.40, RollIn = 0.0019, NZW = 1002497
  123: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0018, NZW = 1001177
  124: F1: 92.49, P: 93.62, R: 91.38, RollIn = 0.0017, NZW = 1000500
  125: F1: 92.51, P: 93.64, R: 91.40, RollIn = 0.0016, NZW = 1000204
  126: F1: 92.47, P: 93.60, R: 91.37, RollIn = 0.0016, NZW = 1000196
  127: F1: 92.49, P: 93.62, R: 91.38, RollIn = 0.0015, NZW = 1000177
  128: F1: 92.53, P: 93.69, R: 91.40, RollIn = 0.0014, NZW = 998594
  129: F1: 92.53, P: 93.67, R: 91.42, RollIn = 0.0013, NZW = 998144
  130: F1: 92.54, P: 93.69, R: 91.42, RollIn = 0.0013, NZW = 998065
  131: F1: 92.53, P: 93.69, R: 91.40, RollIn = 0.0012, NZW = 997940
