[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   68: F1: 92.75, P: 93.64, R: 91.87, RollIn = 0.0306, NZW = 479342
   69: F1: 92.80, P: 93.69, R: 91.92, RollIn = 0.0290, NZW = 477623
   70: F1: 92.84, P: 93.77, R: 91.92, RollIn = 0.0276, NZW = 476463
   71: F1: 92.77, P: 93.67, R: 91.89, RollIn = 0.0262, NZW = 476002
   72: F1: 92.72, P: 93.62, R: 91.84, RollIn = 0.0249, NZW = 475577
   73: F1: 92.67, P: 93.57, R: 91.79, RollIn = 0.0236, NZW = 475437
   74: F1: 92.74, P: 93.65, R: 91.84, RollIn = 0.0225, NZW = 473177
   75: F1: 92.80, P: 93.72, R: 91.91, RollIn = 0.0213, NZW = 472045
   76: F1: 92.81, P: 93.73, R: 91.91, RollIn = 0.0203, NZW = 471897
   77: F1: 92.82, P: 93.75, R: 91.91, RollIn = 0.0193, NZW = 471817
   78: F1: 92.76, P: 93.65, R: 91.89, RollIn = 0.0183, NZW = 471458
   79: F1: 92.83, P: 93.75, R: 91.92, RollIn = 0.0174, NZW = 469370
   80: F1: 92.89, P: 93.82, R: 91.97, RollIn = 0.0165, NZW = 468120
   81: F1: 92.84, P: 93.77, R: 91.92, RollIn = 0.0157, NZW = 467705
   82: F1: 92.89, P: 93.85, R: 91.96, RollIn = 0.0149, NZW = 467162
   83: F1: 92.92, P: 93.82, R: 92.04, RollIn = 0.0142, NZW = 467442
   84: F1: 92.94, P: 93.93, R: 91.97, RollIn = 0.0135, NZW = 465446
   85: F1: 92.99, P: 94.00, R: 92.01, RollIn = 0.0128, NZW = 464627
   86: F1: 92.87, P: 93.91, R: 91.85, RollIn = 0.0121, NZW = 464670
   87: F1: 92.87, P: 93.86, R: 91.89, RollIn = 0.0115, NZW = 464489
   88: F1: 92.90, P: 93.91, R: 91.91, RollIn = 0.0110, NZW = 464384
   89: F1: 92.79, P: 93.81, R: 91.79, RollIn = 0.0104, NZW = 461889
   90: F1: 92.86, P: 93.92, R: 91.82, RollIn = 0.0099, NZW = 461331
   91: F1: 92.82, P: 93.84, R: 91.82, RollIn = 0.0094, NZW = 461539
   92: F1: 92.87, P: 93.86, R: 91.91, RollIn = 0.0089, NZW = 461759
   93: F1: 92.86, P: 93.86, R: 91.87, RollIn = 0.0085, NZW = 461429
   94: F1: 92.80, P: 93.81, R: 91.82, RollIn = 0.0081, NZW = 459406
   95: F1: 92.87, P: 93.88, R: 91.89, RollIn = 0.0077, NZW = 459000
   96: F1: 92.85, P: 93.88, R: 91.85, RollIn = 0.0073, NZW = 458459
   97: F1: 92.80, P: 93.81, R: 91.80, RollIn = 0.0069, NZW = 458219
   98: F1: 92.83, P: 93.81, R: 91.87, RollIn = 0.0066, NZW = 457423
   99: F1: 92.91, P: 93.88, R: 91.96, RollIn = 0.0062, NZW = 455529
  100: F1: 92.92, P: 93.90, R: 91.96, RollIn = 0.0059, NZW = 455035
  101: F1: 92.85, P: 93.83, R: 91.89, RollIn = 0.0056, NZW = 454988
  102: F1: 92.83, P: 93.80, R: 91.89, RollIn = 0.0053, NZW = 455183
  103: F1: 92.85, P: 93.83, R: 91.89, RollIn = 0.0051, NZW = 454500
  104: F1: 92.75, P: 93.77, R: 91.75, RollIn = 0.0048, NZW = 453196
  105: F1: 92.74, P: 93.79, R: 91.72, RollIn = 0.0046, NZW = 452628
  106: F1: 92.79, P: 93.85, R: 91.75, RollIn = 0.0044, NZW = 452451
  107: F1: 92.83, P: 93.90, R: 91.79, RollIn = 0.0041, NZW = 452647
  108: F1: 92.86, P: 93.94, R: 91.80, RollIn = 0.0039, NZW = 451184
  109: F1: 92.91, P: 93.97, R: 91.87, RollIn = 0.0037, NZW = 449854
  110: F1: 92.92, P: 93.95, R: 91.92, RollIn = 0.0035, NZW = 449470
  111: F1: 92.87, P: 93.91, R: 91.85, RollIn = 0.0034, NZW = 449439
  112: F1: 92.81, P: 93.84, R: 91.80, RollIn = 0.0032, NZW = 449063
  113: F1: 92.78, P: 93.81, R: 91.77, RollIn = 0.0030, NZW = 447950
  114: F1: 92.73, P: 93.77, R: 91.72, RollIn = 0.0029, NZW = 446939
  115: F1: 92.82, P: 93.84, R: 91.82, RollIn = 0.0027, NZW = 446517
  116: F1: 92.83, P: 93.81, R: 91.87, RollIn = 0.0026, NZW = 446556
  117: F1: 92.84, P: 93.81, R: 91.89, RollIn = 0.0025, NZW = 446235
  118: F1: 92.81, P: 93.80, R: 91.84, RollIn = 0.0024, NZW = 444846
