[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   68: F1: 92.81, P: 93.77, R: 91.87, RollIn = 0.0306, NZW = 567474
   69: F1: 92.72, P: 93.71, R: 91.75, RollIn = 0.0290, NZW = 565349
   70: F1: 92.73, P: 93.68, R: 91.80, RollIn = 0.0276, NZW = 563429
   71: F1: 92.81, P: 93.81, R: 91.84, RollIn = 0.0262, NZW = 562988
   72: F1: 92.78, P: 93.82, R: 91.75, RollIn = 0.0249, NZW = 563336
   73: F1: 92.76, P: 93.77, R: 91.77, RollIn = 0.0236, NZW = 563542
   74: F1: 92.71, P: 93.74, R: 91.70, RollIn = 0.0225, NZW = 560737
   75: F1: 92.78, P: 93.78, R: 91.80, RollIn = 0.0213, NZW = 559609
   76: F1: 92.74, P: 93.74, R: 91.75, RollIn = 0.0203, NZW = 559409
   77: F1: 92.73, P: 93.73, R: 91.75, RollIn = 0.0193, NZW = 558705
   78: F1: 92.76, P: 93.73, R: 91.80, RollIn = 0.0183, NZW = 558944
   79: F1: 92.80, P: 93.75, R: 91.87, RollIn = 0.0174, NZW = 556556
   80: F1: 92.79, P: 93.78, R: 91.82, RollIn = 0.0165, NZW = 555364
   81: F1: 92.72, P: 93.79, R: 91.69, RollIn = 0.0157, NZW = 555502
   82: F1: 92.79, P: 93.82, R: 91.79, RollIn = 0.0149, NZW = 555742
   83: F1: 92.78, P: 93.84, R: 91.75, RollIn = 0.0142, NZW = 555479
   84: F1: 92.74, P: 93.74, R: 91.75, RollIn = 0.0135, NZW = 553302
   85: F1: 92.73, P: 93.70, R: 91.79, RollIn = 0.0128, NZW = 552867
   86: F1: 92.74, P: 93.71, R: 91.79, RollIn = 0.0121, NZW = 552513
   87: F1: 92.78, P: 93.75, R: 91.84, RollIn = 0.0115, NZW = 552437
   88: F1: 92.83, P: 93.84, R: 91.84, RollIn = 0.0110, NZW = 552513
   89: F1: 92.89, P: 93.87, R: 91.94, RollIn = 0.0104, NZW = 549828
   90: F1: 92.82, P: 93.84, R: 91.82, RollIn = 0.0099, NZW = 549481
   91: F1: 92.83, P: 93.78, R: 91.89, RollIn = 0.0094, NZW = 548633
   92: F1: 92.77, P: 93.76, R: 91.80, RollIn = 0.0089, NZW = 548286
   93: F1: 92.82, P: 93.83, R: 91.84, RollIn = 0.0085, NZW = 547230
   94: F1: 92.82, P: 93.83, R: 91.84, RollIn = 0.0081, NZW = 544572
   95: F1: 92.77, P: 93.73, R: 91.82, RollIn = 0.0077, NZW = 544642
   96: F1: 92.78, P: 93.79, R: 91.79, RollIn = 0.0073, NZW = 544320
   97: F1: 92.75, P: 93.76, R: 91.77, RollIn = 0.0069, NZW = 544069
   98: F1: 92.75, P: 93.76, R: 91.77, RollIn = 0.0066, NZW = 543264
   99: F1: 92.78, P: 93.79, R: 91.79, RollIn = 0.0062, NZW = 541240
  100: F1: 92.78, P: 93.81, R: 91.77, RollIn = 0.0059, NZW = 540495
  101: F1: 92.72, P: 93.69, R: 91.77, RollIn = 0.0056, NZW = 539646
  102: F1: 92.72, P: 93.74, R: 91.72, RollIn = 0.0053, NZW = 539559
  103: F1: 92.71, P: 93.74, R: 91.70, RollIn = 0.0051, NZW = 538156
