[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
   68: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0306, NZW = 563287
   69: F1: 92.64, P: 93.58, R: 91.72, RollIn = 0.0290, NZW = 560966
   70: F1: 92.69, P: 93.64, R: 91.75, RollIn = 0.0276, NZW = 559243
   71: F1: 92.64, P: 93.59, R: 91.70, RollIn = 0.0262, NZW = 558848
   72: F1: 92.62, P: 93.56, R: 91.70, RollIn = 0.0249, NZW = 558572
   73: F1: 92.74, P: 93.70, R: 91.80, RollIn = 0.0236, NZW = 558874
   74: F1: 92.66, P: 93.64, R: 91.70, RollIn = 0.0225, NZW = 556638
   75: F1: 92.72, P: 93.66, R: 91.80, RollIn = 0.0213, NZW = 555475
   76: F1: 92.66, P: 93.57, R: 91.77, RollIn = 0.0203, NZW = 555270
   77: F1: 92.61, P: 93.55, R: 91.70, RollIn = 0.0193, NZW = 554899
   78: F1: 92.66, P: 93.60, R: 91.74, RollIn = 0.0183, NZW = 554505
   79: F1: 92.61, P: 93.53, R: 91.70, RollIn = 0.0174, NZW = 551962
   80: F1: 92.57, P: 93.46, R: 91.69, RollIn = 0.0165, NZW = 550723
   81: F1: 92.47, P: 93.38, R: 91.59, RollIn = 0.0157, NZW = 550342
   82: F1: 92.49, P: 93.41, R: 91.59, RollIn = 0.0149, NZW = 550287
   83: F1: 92.45, P: 93.40, R: 91.52, RollIn = 0.0142, NZW = 550229
   84: F1: 92.52, P: 93.46, R: 91.60, RollIn = 0.0135, NZW = 547423
   85: F1: 92.56, P: 93.60, R: 91.53, RollIn = 0.0128, NZW = 546650
   86: F1: 92.51, P: 93.53, R: 91.52, RollIn = 0.0121, NZW = 546322
   87: F1: 92.58, P: 93.56, R: 91.62, RollIn = 0.0115, NZW = 545897
   88: F1: 92.54, P: 93.52, R: 91.59, RollIn = 0.0110, NZW = 545688
   89: F1: 92.53, P: 93.52, R: 91.57, RollIn = 0.0104, NZW = 542696
   90: F1: 92.51, P: 93.52, R: 91.52, RollIn = 0.0099, NZW = 541790
   91: F1: 92.48, P: 93.45, R: 91.53, RollIn = 0.0094, NZW = 541462
   92: F1: 92.52, P: 93.52, R: 91.55, RollIn = 0.0089, NZW = 541895
   93: F1: 92.54, P: 93.49, R: 91.60, RollIn = 0.0085, NZW = 541642
   94: F1: 92.55, P: 93.49, R: 91.64, RollIn = 0.0081, NZW = 539411
   95: F1: 92.54, P: 93.49, R: 91.60, RollIn = 0.0077, NZW = 538716
   96: F1: 92.54, P: 93.49, R: 91.60, RollIn = 0.0073, NZW = 538406
   97: F1: 92.62, P: 93.58, R: 91.69, RollIn = 0.0069, NZW = 538527
   98: F1: 92.71, P: 93.68, R: 91.77, RollIn = 0.0066, NZW = 537861
   99: F1: 92.63, P: 93.56, R: 91.72, RollIn = 0.0062, NZW = 536202
