[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
    1: F1: 90.51, P: 92.05, R: 89.03, RollIn = 0.9500, NZW = 412216
    2: F1: 91.53, P: 92.83, R: 90.26, RollIn = 0.9025, NZW = 495728
    3: F1: 91.88, P: 93.00, R: 90.78, RollIn = 0.8574, NZW = 542337
    4: F1: 92.16, P: 93.08, R: 91.25, RollIn = 0.8145, NZW = 574221
    5: F1: 92.41, P: 93.40, R: 91.45, RollIn = 0.7738, NZW = 593890
    6: F1: 92.28, P: 93.17, R: 91.40, RollIn = 0.7351, NZW = 590122
    7: F1: 92.51, P: 93.44, R: 91.60, RollIn = 0.6983, NZW = 594214
    8: F1: 92.63, P: 93.55, R: 91.74, RollIn = 0.6634, NZW = 600110
    9: F1: 92.58, P: 93.48, R: 91.70, RollIn = 0.6302, NZW = 606059
   10: F1: 92.64, P: 93.52, R: 91.77, RollIn = 0.5987, NZW = 607678
   11: F1: 92.63, P: 93.49, R: 91.79, RollIn = 0.5688, NZW = 601289
   12: F1: 92.70, P: 93.53, R: 91.89, RollIn = 0.5404, NZW = 601575
   13: F1: 92.79, P: 93.66, R: 91.94, RollIn = 0.5133, NZW = 603255
   14: F1: 92.81, P: 93.66, R: 91.97, RollIn = 0.4877, NZW = 605281
   15: F1: 92.84, P: 93.63, R: 92.06, RollIn = 0.4633, NZW = 603309
   16: F1: 92.82, P: 93.62, R: 92.04, RollIn = 0.4401, NZW = 599106
   17: F1: 92.79, P: 93.60, R: 92.01, RollIn = 0.4181, NZW = 597880
   18: F1: 92.89, P: 93.74, R: 92.06, RollIn = 0.3972, NZW = 598660
   19: F1: 92.85, P: 93.72, R: 91.99, RollIn = 0.3774, NZW = 599896
   20: F1: 92.91, P: 93.76, R: 92.07, RollIn = 0.3585, NZW = 596562
   21: F1: 92.88, P: 93.70, R: 92.07, RollIn = 0.3406, NZW = 593268
   22: F1: 92.82, P: 93.63, R: 92.02, RollIn = 0.3235, NZW = 592372
   23: F1: 92.81, P: 93.63, R: 92.01, RollIn = 0.3074, NZW = 593256
   24: F1: 92.79, P: 93.64, R: 91.96, RollIn = 0.2920, NZW = 593761
   25: F1: 92.82, P: 93.71, R: 91.96, RollIn = 0.2774, NZW = 590115
   26: F1: 92.79, P: 93.66, R: 91.94, RollIn = 0.2635, NZW = 587252
   27: F1: 92.78, P: 93.67, R: 91.91, RollIn = 0.2503, NZW = 586838
   28: F1: 92.84, P: 93.75, R: 91.94, RollIn = 0.2378, NZW = 587238
   29: F1: 92.89, P: 93.80, R: 91.99, RollIn = 0.2259, NZW = 587211
   30: F1: 92.89, P: 93.79, R: 92.01, RollIn = 0.2146, NZW = 583471
